날짜,상대팀,결과
09.01(일),두산,lose
09.03(화),롯데,win
09.04(수),롯데,win
09.05(목),키움,win
09.06(금),키움,lose
09.07(토),NC,lose
09.08(일),NC,win
09.10(화),KT,win
09.11(수),KT,win
09.12(목),한화,-
09.13(금),한화,lose
09.14(토),NC,lose
09.15(일),NC,lose
09.16(월),한화,lose
09.18(수),LG,lose
09.19(목),KIA,win
09.20(금),한화,lose
09.21(토),KT,win
09.22(일),KT,-
09.24(화),LG,win
09.25(수),SK,lose
09.26(목),두산,lose
09.27(금),SK,lose
09.28(토),SK,win
09.29(일),KT,lose
