날짜,상대팀,결과
06.01(토),롯데,lose
06.02(일),롯데,win
06.04(화),NC,win
06.05(수),NC,win
06.06(목),NC,win
06.07(금),SK,lose
06.08(토),SK,lose
06.09(일),SK,win
06.11(화),KIA,lose
06.12(수),KIA,lose
06.13(목),KIA,lose
06.14(금),KT,win
06.15(토),KT,lose
06.16(일),KT,lose
06.18(화),LG,win
06.19(수),LG,lose
06.20(목),LG,lose
06.21(금),한화,win
06.22(토),한화,lose
06.23(일),한화,win
06.25(화),두산,win
06.26(수),두산,-
06.27(목),두산,lose
06.28(금),SK,win
06.29(토),SK,-
06.30(일),SK,lose
