날짜,상대팀,결과
05.02(수),한화,lose
05.03(목),한화,lose
05.04(금),롯데,lose
05.05(토),롯데,lose
05.06(일),롯데,win
05.08(화),두산,lose
05.10(목),두산,draw
05.11(금),현대,lose
05.13(일),현대,win
05.15(화),한화,win
05.17(목),한화,win
05.18(금),LG,lose
05.19(토),LG,lose
05.20(일),LG,win
05.22(화),SK,win
05.23(수),SK,draw
05.24(목),SK,win
05.25(금),현대,lose
05.26(토),현대,win
05.27(일),현대,lose
05.29(화),LG,lose
05.30(수),LG,win
05.31(목),LG,lose
