날짜,상대팀,결과
05.03(토),NC,lose
05.04(일),NC,win
05.05(월),NC,win
05.06(화),SK,win
05.07(수),SK,win
05.08(목),SK,win
05.09(금),두산,win
05.10(토),두산,lose
05.11(일),두산,lose
05.13(화),한화,win
05.14(수),한화,win
05.15(목),한화,draw
05.16(금),KIA,win
05.17(토),KIA,win
05.18(일),KIA,win
05.20(화),롯데,win
05.21(수),롯데,win
05.22(목),롯데,win
05.23(금),넥센,win
05.24(토),넥센,win
05.25(일),넥센,win
05.27(화),LG,lose
05.28(수),LG,win
05.29(목),LG,win
