날짜,상대팀,결과
10.01(수),롯데,win
10.04(토),KIA,win
10.05(일),KIA,win
10.06(월),두산,lose
10.07(화),LG,lose
10.08(수),넥센,lose
10.09(목),NC,lose
10.11(토),KIA,lose
10.12(일),KIA,win
10.13(월),한화,win
10.14(화),NC,lose
10.15(수),LG,win
10.16(목),KIA,lose
