날짜,상대팀,결과
05.01(화),두산,-
05.02(수),두산,lose
05.03(목),두산,win
05.04(금),한화,lose
05.05(토),한화,win
05.06(일),한화,lose
05.08(화),롯데,win
05.09(수),롯데,win
05.10(목),롯데,draw
05.11(금),LG,win
05.12(토),LG,lose
05.13(일),LG,win
05.15(화),KIA,win
05.16(수),KIA,lose
05.17(목),KIA,win
05.18(금),넥센,lose
05.19(토),넥센,lose
05.20(일),넥센,lose
05.22(화),롯데,win
05.23(수),롯데,lose
05.24(목),롯데,win
05.25(금),SK,win
05.26(토),SK,lose
05.27(일),SK,lose
05.29(화),한화,win
05.30(수),한화,win
05.31(목),한화,win
