날짜,상대팀,결과
08.01(일),두산,lose
08.03(화),SK,win
08.04(수),SK,win
08.05(목),SK,win
08.07(토),한화,lose
08.08(일),한화,win
08.10(화),KIA,win
08.11(수),KIA,win
08.15(일),LG,lose
08.17(화),KIA,win
08.19(목),KIA,win
08.20(금),현대,lose
08.21(토),현대,win
08.24(화),롯데,win
08.25(수),롯데,win
08.27(금),SK,win
08.28(토),SK,win
-,SK,lose
08.29(일),SK,lose
08.31(화),한화,win
