날짜,상대팀,결과
05.02(화),SK,win
05.03(수),SK,win
05.04(목),SK,win
05.05(금),현대,lose
05.07(일),현대,lose
05.09(화),LG,lose
05.10(수),LG,win
05.11(목),LG,win
05.12(금),KIA,lose
05.13(토),KIA,win
05.14(일),KIA,lose
05.16(화),두산,win
05.17(수),두산,lose
05.18(목),두산,win
05.20(토),롯데,lose
05.21(일),롯데,win
05.23(화),한화,win
05.24(수),한화,lose
05.25(목),한화,win
05.26(금),두산,win
05.28(일),두산,win
05.30(화),롯데,win
05.31(수),롯데,lose
