날짜,상대팀,결과
09.02(수),KIA,lose
09.03(목),KIA,win
09.06(일),히어로즈,win
09.09(수),LG,win
09.10(목),LG,win
09.11(금),LG,lose
09.12(토),롯데,lose
09.13(일),롯데,lose
09.15(화),한화,lose
09.16(수),한화,win
09.19(토),히어로즈,win
09.20(일),히어로즈,win
09.22(화),SK,lose
09.23(수),SK,lose
09.24(목),두산,lose
09.25(금),한화,lose
