날짜,상대팀,결과
07.01(수),넥센,win
07.02(목),넥센,lose
07.03(금),LG,win
07.04(토),LG,win
07.05(일),LG,win
07.07(화),SK,-
07.08(수),SK,-
07.09(목),SK,win
07.10(금),KT,lose
07.11(토),KT,lose
07.12(일),KT,-
07.14(화),넥센,lose
07.15(수),넥센,win
07.16(목),넥센,win
07.21(화),KIA,lose
07.22(수),KIA,win
07.23(목),KIA,lose
07.24(금),한화,win
07.25(토),한화,lose
07.26(일),한화,win
07.28(화),NC,win
07.29(수),NC,win
07.30(목),NC,win
07.31(금),두산,win
