날짜,상대팀,결과
09.01(화),NC,win
09.02(수),NC,win
09.03(목),SK,win
09.04(금),SK,lose
09.05(토),KIA,lose
09.06(일),KIA,win
09.08(화),KT,win
09.09(수),KT,win
09.10(목),롯데,lose
09.11(금),롯데,win
09.12(토),넥센,lose
09.13(일),넥센,win
09.15(화),SK,lose
09.16(수),SK,lose
09.17(목),SK,win
09.18(금),두산,win
09.20(일),롯데,win
09.22(화),NC,win
09.23(수),KT,win
09.24(목),KT,win
09.25(금),SK,lose
09.26(토),두산,lose
09.29(화),한화,lose
09.30(수),한화,lose
