날짜,상대팀,결과
04.02(토),KIA,win
04.03(일),KIA,lose
04.05(화),롯데,lose
04.06(수),롯데,win
04.07(목),롯데,-
04.08(금),SK,lose
04.09(토),SK,lose
04.10(일),SK,win
04.12(화),LG,win
04.13(수),LG,lose
04.14(목),LG,win
04.15(금),두산,win
04.16(토),두산,lose
04.17(일),두산,win
04.19(화),KIA,win
04.20(수),KIA,lose
04.21(목),KIA,win
04.22(금),넥센,lose
04.23(토),넥센,win
04.24(일),넥센,lose
04.26(화),두산,-
04.27(수),두산,win
04.28(목),두산,win
04.29(금),한화,lose
04.30(토),한화,win
