날짜,상대팀,결과
04.01(목),KIA,-
04.02(금),한화,win
04.03(토),한화,lose
04.04(일),한화,win
04.06(화),넥센,win
04.07(수),넥센,win
04.08(목),넥센,win
04.09(금),KIA,win
04.10(토),KIA,win
04.11(일),KIA,lose
04.13(화),LG,win
04.14(수),LG,lose
04.15(목),LG,lose
04.16(금),SK,lose
04.17(토),SK,lose
04.18(일),SK,lose
04.20(화),한화,win
04.21(수),한화,win
04.22(목),한화,lose
04.23(금),두산,win
04.24(토),두산,lose
04.25(일),두산,lose
04.27(화),LG,-
04.28(수),LG,-
04.29(목),LG,win
04.30(금),한화,win
