날짜,상대팀,결과
04.05(목),삼성,lose
04.06(금),삼성,lose
04.07(토),롯데,lose
04.08(일),롯데,win
04.10(화),SK,win
04.12(목),SK,win
-,SK,lose
04.13(금),삼성,lose
04.14(토),삼성,lose
04.15(일),삼성,lose
04.17(화),두산,lose
04.18(수),두산,lose
04.19(목),두산,win
04.20(금),삼성,win
04.21(토),삼성,lose
04.22(일),삼성,win
04.24(화),삼성,lose
04.25(수),삼성,win
04.26(목),삼성,lose
04.27(금),현대,lose
04.28(토),현대,lose
04.29(일),현대,win
