날짜,상대팀,결과
04.01(토),KIA,lose
04.02(일),KIA,win
04.04(화),LG,lose
04.05(수),LG,-
04.06(목),LG,lose
04.07(금),KT,lose
04.08(토),KT,lose
04.09(일),KT,lose
04.11(화),한화,lose
04.12(수),한화,lose
04.13(목),한화,win
04.14(금),롯데,lose
04.15(토),롯데,lose
04.16(일),롯데,win
04.18(화),두산,draw
04.19(수),두산,lose
04.20(목),두산,lose
04.21(금),NC,draw
04.22(토),NC,lose
04.23(일),NC,lose
04.25(화),KIA,lose
04.26(수),KIA,lose
04.27(목),KIA,lose
04.28(금),SK,lose
04.29(토),SK,win
04.30(일),SK,lose
