,날짜,상대팀,결과
0,03.28(토),SK,win
1,03.29(일),SK,lose
2,03.31(화),KT,win
3,03.28(토),SK,win
4,03.29(일),SK,lose
5,03.31(화),KT,win
6,04.01(수),KT,win
7,04.02(목),KT,-
8,04.03(금),LG,win
9,04.04(토),LG,lose
10,04.05(일),LG,lose
11,04.07(화),롯데,win
12,04.08(수),롯데,win
13,04.09(목),롯데,win
14,04.10(금),KIA,win
15,04.11(토),KIA,win
16,04.12(일),KIA,lose
17,04.14(화),한화,lose
18,04.15(수),한화,win
19,04.16(목),한화,-
20,04.17(금),KT,win
21,04.18(토),KT,win
22,04.19(일),KT,-
23,04.21(화),NC,win
24,04.22(수),NC,win
25,04.23(목),NC,win
26,04.24(금),롯데,lose
27,04.25(토),롯데,lose
28,04.26(일),롯데,lose
29,04.28(화),LG,lose
30,04.29(수),LG,win
31,04.30(목),LG,win
32,05.01(금),두산,win
33,05.02(토),두산,win
34,05.03(일),두산,-
35,05.05(화),넥센,lose
36,05.06(수),넥센,win
37,05.07(목),넥센,win
38,05.08(금),SK,lose
39,05.09(토),SK,win
40,05.10(일),SK,lose
41,05.12(화),한화,lose
42,05.13(수),한화,win
43,05.14(목),한화,lose
44,05.15(금),NC,lose
45,05.16(토),NC,win
46,05.17(일),NC,lose
47,05.19(화),두산,-
48,05.20(수),두산,win
49,05.21(목),두산,win
50,05.22(금),KIA,win
51,05.23(토),KIA,lose
52,05.24(일),KIA,lose
53,05.26(화),넥센,win
54,05.27(수),넥센,lose
55,05.28(목),넥센,lose
56,05.29(금),LG,win
57,05.30(토),LG,win
58,05.31(일),LG,win
59,06.02(화),롯데,win
60,06.03(수),롯데,win
61,06.04(목),롯데,win
62,06.05(금),NC,win
63,06.06(토),NC,lose
64,06.07(일),NC,lose
65,06.09(화),한화,lose
66,06.10(수),한화,lose
67,06.11(목),한화,lose
68,06.12(금),KIA,win
69,06.13(토),KIA,lose
70,06.14(일),KIA,-
71,06.16(화),두산,lose
72,06.17(수),두산,win
73,06.18(목),두산,lose
74,06.19(금),SK,win
75,06.20(토),SK,-
76,06.21(일),SK,win
77,06.23(화),롯데,win
78,06.24(수),롯데,lose
79,06.25(목),롯데,-
80,06.26(금),KT,win
81,06.27(토),KT,win
82,06.28(일),KT,lose
83,06.30(화),넥센,-
84,07.01(수),넥센,win
85,07.02(목),넥센,lose
86,07.03(금),LG,win
87,07.04(토),LG,win
88,07.05(일),LG,win
89,07.07(화),SK,-
90,07.08(수),SK,-
91,07.09(목),SK,win
92,07.10(금),KT,lose
93,07.11(토),KT,lose
94,07.12(일),KT,-
95,07.14(화),넥센,lose
96,07.15(수),넥센,win
97,07.16(목),넥센,win
98,07.21(화),KIA,lose
99,07.22(수),KIA,win
100,07.23(목),KIA,lose
101,07.24(금),한화,win
102,07.25(토),한화,lose
103,07.26(일),한화,win
104,07.28(화),NC,win
105,07.29(수),NC,win
106,07.30(목),NC,win
107,07.31(금),두산,win
108,08.01(토),두산,win
109,08.02(일),두산,lose
110,08.04(화),KT,win
111,08.05(수),KT,win
112,08.06(목),SK,win
113,08.07(금),SK,win
114,08.08(토),넥센,-
115,08.09(일),넥센,win
116,08.10(월),넥센,lose
117,08.11(화),LG,lose
118,08.12(수),LG,win
119,08.13(목),KIA,win
120,08.14(금),KIA,lose
121,08.15(토),한화,win
122,08.16(일),한화,win
123,08.18(화),두산,win
124,08.19(수),두산,win
125,08.20(목),NC,-
126,08.21(금),NC,lose
127,08.22(토),롯데,win
128,08.23(일),롯데,lose
129,08.25(화),한화,-
130,08.26(수),한화,lose
131,08.27(목),두산,win
132,08.28(금),두산,lose
133,08.29(토),LG,lose
134,08.30(일),LG,win
135,09.01(화),NC,win
136,09.02(수),NC,win
137,09.03(목),SK,win
138,09.04(금),SK,lose
139,09.05(토),KIA,lose
140,09.06(일),KIA,win
141,09.08(화),KT,win
142,09.09(수),KT,win
143,09.10(목),롯데,lose
144,09.11(금),롯데,win
145,09.12(토),넥센,lose
146,09.13(일),넥센,win
147,09.15(화),SK,lose
148,09.16(수),SK,lose
149,09.17(목),SK,win
150,09.18(금),두산,win
151,09.20(일),롯데,win
152,09.22(화),NC,win
153,09.23(수),KT,win
154,09.24(목),KT,win
155,09.25(금),SK,lose
156,09.26(토),두산,lose
157,09.29(화),한화,lose
158,09.30(수),한화,lose
159,10.01(목),KIA,-
160,10.02(금),KT,win
161,10.03(토),넥센,win
162,10.05(월),KIA,win
