,날짜,상대팀,결과
0,03.30(토),두산,lose
1,03.31(일),두산,lose
2,03.30(토),두산,lose
3,03.31(일),두산,lose
4,04.05(금),NC,win
5,04.06(토),NC,-
6,04.07(일),NC,win
7,04.09(화),한화,win
8,04.10(수),한화,win
9,04.11(목),한화,win
10,04.12(금),넥센,lose
11,04.13(토),넥센,win
12,04.14(일),넥센,win
13,04.16(화),SK,lose
14,04.17(수),SK,win
15,04.18(목),SK,lose
16,04.19(금),롯데,lose
17,04.20(토),롯데,-
18,04.21(일),롯데,win
19,04.23(화),LG,-
20,04.24(수),LG,win
21,04.25(목),LG,win
22,04.26(금),KIA,win
23,04.27(토),KIA,lose
24,04.28(일),KIA,win
25,04.30(화),넥센,lose
26,05.01(수),넥센,lose
27,05.02(목),넥센,lose
28,05.03(금),롯데,win
29,05.04(토),롯데,win
30,05.05(일),롯데,win
31,05.10(금),KIA,win
32,05.11(토),KIA,win
33,05.12(일),KIA,win
34,05.14(화),두산,win
35,05.15(수),두산,win
36,05.16(목),두산,lose
37,05.17(금),NC,win
38,05.18(토),NC,win
39,05.19(일),NC,win
40,05.21(화),LG,win
41,05.22(수),LG,lose
42,05.23(목),LG,lose
43,05.24(금),한화,win
44,05.25(토),한화,win
45,05.26(일),한화,lose
46,05.28(화),SK,-
47,05.29(수),SK,-
48,05.30(목),SK,win
49,05.31(금),롯데,lose
50,06.01(토),롯데,lose
51,06.02(일),롯데,win
52,06.04(화),넥센,lose
53,06.05(수),넥센,draw
54,06.06(목),넥센,lose
55,06.07(금),두산,win
56,06.08(토),두산,win
57,06.09(일),두산,win
58,06.14(금),NC,win
59,06.15(토),NC,lose
60,06.16(일),NC,draw
61,06.18(화),SK,-
62,06.19(수),SK,lose
63,06.20(목),SK,win
64,06.21(금),LG,lose
65,06.22(토),LG,win
66,06.23(일),LG,lose
67,06.25(화),한화,-
68,06.26(수),한화,lose
69,06.27(목),한화,-
70,06.28(금),KIA,win
71,06.29(토),KIA,win
72,06.30(일),KIA,win
73,07.02(화),롯데,win
74,07.03(수),롯데,lose
75,07.04(목),롯데,-
76,07.05(금),두산,lose
77,07.06(토),두산,lose
78,07.07(일),두산,win
79,07.09(화),SK,lose
80,07.10(수),SK,win
81,07.11(목),SK,lose
82,07.12(금),한화,win
83,07.13(토),한화,win
84,07.14(일),한화,-
85,07.23(화),NC,win
86,07.24(수),NC,win
87,07.25(목),NC,win
88,07.26(금),넥센,win
89,07.27(토),넥센,win
90,07.28(일),넥센,lose
91,07.30(화),KIA,win
92,07.31(수),KIA,win
93,08.01(목),KIA,win
94,08.02(금),LG,lose
95,08.03(토),LG,win
96,08.04(일),LG,lose
97,08.08(목),한화,win
98,08.09(금),한화,lose
99,08.10(토),KIA,win
100,08.11(일),KIA,lose
101,08.13(화),LG,lose
102,08.14(수),LG,win
103,08.15(목),NC,lose
104,08.16(금),NC,lose
105,08.17(토),넥센,win
106,08.18(일),넥센,lose
107,08.20(화),SK,lose
108,08.21(수),SK,win
109,08.22(목),두산,win
110,08.23(금),두산,lose
111,08.24(토),롯데,-
112,08.25(일),롯데,win
113,08.27(화),NC,win
114,08.28(수),NC,lose
115,08.29(목),SK,lose
116,08.30(금),SK,win
117,08.31(토),두산,-
118,09.01(일),두산,lose
119,09.03(화),KIA,lose
120,09.04(수),KIA,lose
121,09.07(토),LG,win
122,09.08(일),LG,lose
123,09.10(화),넥센,-
124,09.11(수),넥센,win
125,09.12(목),롯데,lose
126,09.13(금),롯데,win
127,09.14(토),한화,lose
128,09.15(일),한화,win
129,09.17(화),두산,win
130,09.18(수),NC,win
131,09.19(목),두산,win
132,09.21(토),넥센,win
133,09.23(월),한화,win
134,09.24(화),SK,win
135,09.25(수),SK,win
136,09.26(목),SK,lose
137,09.27(금),롯데,lose
138,09.29(일),LG,lose
139,09.30(월),한화,win
140,10.01(화),한화,win
141,10.02(수),롯데,win
142,10.03(목),롯데,lose
