,날짜,상대팀,결과
0,04.07(토),LG,lose
1,04.08(일),LG,lose
2,04.10(화),KIA,-
3,04.11(수),KIA,lose
4,04.12(목),KIA,win
5,04.13(금),넥센,win
6,04.14(토),넥센,win
7,04.15(일),넥센,lose
8,04.17(화),두산,lose
9,04.18(수),두산,lose
10,04.19(목),두산,lose
11,04.20(금),한화,win
12,04.21(토),한화,-
13,04.22(일),한화,win
14,04.24(화),롯데,lose
15,04.25(수),롯데,-
16,04.26(목),롯데,win
17,04.27(금),SK,lose
18,04.28(토),SK,lose
19,04.29(일),SK,win
20,04.07(토),LG,lose
21,04.08(일),LG,lose
22,04.10(화),KIA,-
23,04.11(수),KIA,lose
24,04.12(목),KIA,win
25,04.13(금),넥센,win
26,04.14(토),넥센,win
27,04.15(일),넥센,lose
28,04.17(화),두산,lose
29,04.18(수),두산,lose
30,04.19(목),두산,lose
31,04.20(금),한화,win
32,04.21(토),한화,-
33,04.22(일),한화,win
34,04.24(화),롯데,lose
35,04.25(수),롯데,-
36,04.26(목),롯데,win
37,04.27(금),SK,lose
38,04.28(토),SK,lose
39,04.29(일),SK,win
40,05.01(화),두산,-
41,05.02(수),두산,lose
42,05.03(목),두산,win
43,05.04(금),한화,lose
44,05.05(토),한화,win
45,05.06(일),한화,lose
46,05.08(화),롯데,win
47,05.09(수),롯데,win
48,05.10(목),롯데,draw
49,05.11(금),LG,win
50,05.12(토),LG,lose
51,05.13(일),LG,win
52,05.15(화),KIA,win
53,05.16(수),KIA,lose
54,05.17(목),KIA,win
55,05.18(금),넥센,lose
56,05.19(토),넥센,lose
57,05.20(일),넥센,lose
58,05.22(화),롯데,win
59,05.23(수),롯데,lose
60,05.24(목),롯데,win
61,05.25(금),SK,win
62,05.26(토),SK,lose
63,05.27(일),SK,lose
64,05.29(화),한화,win
65,05.30(수),한화,win
66,05.31(목),한화,win
67,06.01(금),두산,lose
68,06.02(토),두산,win
69,06.03(일),두산,lose
70,06.05(화),KIA,win
71,06.06(수),KIA,win
72,06.07(목),KIA,lose
73,06.08(금),SK,lose
74,06.09(토),SK,win
75,06.10(일),SK,lose
76,06.12(화),한화,win
77,06.13(수),한화,win
78,06.14(목),한화,win
79,06.15(금),두산,lose
80,06.16(토),두산,win
81,06.17(일),두산,lose
82,06.19(화),KIA,win
83,06.20(수),KIA,draw
84,06.21(목),KIA,win
85,06.22(금),넥센,win
86,06.23(토),넥센,win
87,06.24(일),넥센,lose
88,06.26(화),SK,win
89,06.27(수),SK,lose
90,06.28(목),SK,win
91,06.29(금),넥센,win
92,06.30(토),넥센,-
93,07.01(일),넥센,win
94,07.03(화),LG,win
95,07.04(수),LG,win
96,07.05(목),LG,-
97,07.06(금),롯데,-
98,07.07(토),롯데,lose
99,07.08(일),롯데,win
100,07.10(화),LG,win
101,07.11(수),LG,-
102,07.12(목),LG,win
103,07.13(금),KIA,-
104,07.14(토),KIA,-
105,07.15(일),KIA,win
106,07.17(화),한화,-
107,07.18(수),한화,win
108,07.19(목),한화,win
109,07.24(화),SK,lose
110,07.25(수),SK,win
111,07.26(목),SK,win
112,07.27(금),넥센,win
113,07.28(토),넥센,win
114,07.29(일),넥센,win
115,07.31(화),두산,lose
116,08.01(수),두산,lose
117,08.02(목),두산,lose
118,08.03(금),롯데,lose
119,08.04(토),롯데,win
120,08.05(일),롯데,lose
121,08.07(화),SK,lose
122,08.08(수),SK,win
123,08.09(목),SK,lose
124,08.10(금),LG,lose
125,08.11(토),LG,win
126,08.12(일),LG,win
127,08.14(화),한화,win
128,08.15(수),한화,lose
129,08.16(목),한화,-
130,08.17(금),두산,win
131,08.18(토),두산,win
132,08.19(일),두산,win
133,08.21(화),롯데,lose
134,08.22(수),롯데,-
135,08.23(목),롯데,-
136,08.24(금),LG,win
137,08.25(토),LG,win
138,08.26(일),LG,win
139,08.28(화),KIA,-
140,08.29(수),KIA,win
141,08.30(목),KIA,-
142,08.31(금),넥센,lose
143,09.01(토),넥센,win
144,09.02(일),넥센,win
145,09.04(화),LG,lose
146,09.05(수),LG,win
147,09.08(토),두산,lose
148,09.09(일),두산,-
149,09.10(월),넥센,win
150,09.11(화),한화,lose
151,09.12(수),한화,lose
152,09.13(목),한화,-
153,09.15(토),롯데,win
154,09.16(일),롯데,-
155,09.17(월),SK,-
156,09.18(화),한화,win
157,09.19(수),한화,lose
158,09.20(목),KIA,win
159,09.21(금),KIA,win
160,09.22(토),롯데,win
161,09.24(월),롯데,win
162,09.25(화),KIA,lose
163,09.26(수),KIA,lose
164,09.27(목),롯데,win
165,09.28(금),롯데,win
166,09.30(일),넥센,win
167,10.01(월),LG,win
168,10.02(화),LG,win
169,10.03(수),두산,win
170,10.04(목),SK,win
171,10.05(금),KIA,lose
172,10.06(토),KIA,win
