,날짜,상대팀,결과
0,05.05(화),NC,lose
1,05.06(수),NC,lose
2,05.07(목),NC,lose
3,05.08(금),KIA,win
4,05.09(토),KIA,win
5,05.10(일),KIA,lose
6,05.12(화),키움,lose
7,05.13(수),키움,win
8,05.14(목),키움,win
9,05.15(금),KT,lose
10,05.16(토),KT,lose
11,05.17(일),KT,lose
12,05.19(화),LG,lose
13,05.20(수),LG,win
14,05.21(목),LG,lose
15,05.22(금),두산,lose
16,05.23(토),두산,lose
17,05.24(일),두산,win
18,05.26(화),롯데,lose
19,05.27(수),롯데,win
20,05.28(목),롯데,win
21,05.29(금),NC,win
22,05.30(토),NC,win
23,05.31(일),NC,lose
24,05.05(화),NC,lose
25,05.06(수),NC,lose
26,05.07(목),NC,lose
27,05.08(금),KIA,win
28,05.09(토),KIA,win
29,05.10(일),KIA,lose
30,05.12(화),키움,lose
31,05.13(수),키움,win
32,05.14(목),키움,win
33,05.15(금),KT,lose
34,05.16(토),KT,lose
35,05.17(일),KT,lose
36,05.19(화),LG,lose
37,05.20(수),LG,win
38,05.21(목),LG,lose
39,05.22(금),두산,lose
40,05.23(토),두산,lose
41,05.24(일),두산,win
42,05.26(화),롯데,lose
43,05.27(수),롯데,win
44,05.28(목),롯데,win
45,05.29(금),NC,win
46,05.30(토),NC,win
47,05.31(일),NC,lose
48,06.02(화),LG,win
49,06.03(수),LG,win
50,06.04(목),LG,lose
51,06.05(금),SK,lose
52,06.06(토),SK,lose
53,06.07(일),SK,win
54,06.09(화),키움,lose
55,06.10(수),키움,win
56,06.11(목),키움,win
57,06.12(금),KT,-
58,06.13(토),KT,win
59,-,KT,lose
60,06.14(일),KT,win
61,06.16(화),두산,win
62,06.17(수),두산,win
63,06.18(목),두산,lose
64,06.19(금),KIA,lose
65,06.20(토),KIA,lose
66,06.21(일),KIA,win
67,06.23(화),한화,win
68,06.24(수),한화,win
69,06.25(목),한화,lose
70,06.26(금),롯데,win
71,06.27(토),롯데,win
72,06.28(일),롯데,lose
73,06.30(화),SK,win
74,07.01(수),SK,win
75,07.02(목),SK,win
76,07.03(금),LG,win
77,07.04(토),LG,win
78,07.05(일),LG,lose
79,07.07(화),키움,win
80,07.08(수),키움,lose
81,07.09(목),키움,lose
82,07.10(금),KT,lose
83,07.11(토),KT,lose
84,07.12(일),KT,-
85,07.13(월),KT,-
86,07.14(화),KIA,win
87,07.15(수),KIA,lose
88,07.16(목),KIA,win
89,07.17(금),롯데,win
90,07.18(토),롯데,win
91,07.19(일),롯데,lose
92,07.21(화),NC,lose
93,07.22(수),NC,-
94,07.23(목),NC,-
95,07.24(금),KIA,-
96,07.25(토),KIA,lose
97,07.26(일),KIA,lose
98,07.28(화),한화,-
99,07.29(수),한화,lose
100,07.30(목),한화,win
101,07.31(금),키움,lose
102,08.01(토),키움,lose
103,08.02(일),키움,lose
104,08.04(화),두산,win
105,08.05(수),두산,draw
106,08.06(목),두산,lose
107,08.07(금),SK,win
108,08.08(토),SK,lose
109,08.09(일),SK,-
110,08.10(월),SK,-
111,08.11(화),두산,lose
112,08.12(수),두산,lose
113,08.13(목),두산,win
114,08.14(금),한화,win
115,08.15(토),한화,win
116,08.16(일),한화,lose
117,08.18(화),KT,lose
118,08.19(수),KT,lose
119,08.20(목),SK,win
120,08.21(금),SK,lose
121,08.22(토),롯데,lose
122,08.23(일),롯데,lose
123,08.25(화),LG,win
124,08.26(수),LG,lose
125,08.27(목),한화,lose
126,08.28(금),한화,-
127,08.29(토),키움,win
128,08.30(일),키움,lose
129,09.01(화),KIA,lose
130,09.02(수),KIA,-
131,09.03(목),두산,win
132,09.04(금),두산,win
133,09.05(토),NC,-
134,09.06(일),NC,win
135,-,NC,-
136,09.08(화),한화,lose
137,09.09(수),한화,draw
138,-,한화,lose
139,09.10(목),롯데,lose
140,09.11(금),롯데,lose
141,09.12(토),LG,win
142,09.13(일),LG,win
143,09.15(화),KT,win
144,09.16(수),KT,lose
145,09.17(목),KIA,lose
146,09.18(금),KIA,lose
147,09.19(토),키움,lose
148,09.20(일),키움,win
149,09.22(화),NC,lose
150,09.23(수),NC,lose
151,09.24(목),두산,lose
152,09.25(금),두산,win
153,09.26(토),SK,win
154,09.27(일),SK,lose
155,09.29(화),KT,lose
156,09.30(수),KT,lose
157,10.01(목),KT,win
158,10.02(금),NC,win
159,10.03(토),NC,draw
160,-,NC,lose
161,10.04(일),NC,lose
162,10.06(화),LG,win
163,10.07(수),LG,lose
164,10.08(목),LG,lose
165,10.09(금),롯데,win
166,10.10(토),롯데,lose
167,10.11(일),롯데,win
168,10.13(화),SK,lose
169,10.14(수),SK,win
170,10.15(목),SK,lose
171,10.16(금),한화,win
172,10.17(토),한화,draw
173,-,한화,win
174,10.18(일),한화,win
175,10.20(화),SK,win
176,10.21(수),KT,lose
177,10.24(토),KIA,win
178,10.25(일),KIA,lose
179,10.27(화),NC,win
180,10.30(금),NC,draw
