,날짜,상대팀,결과
0,04.04(토),LG,win
1,04.05(일),LG,win
2,04.07(화),히어로즈,lose
3,04.08(수),히어로즈,lose
4,04.09(목),히어로즈,lose
5,04.10(금),KIA,win
6,04.11(토),KIA,win
7,04.12(일),KIA,lose
8,04.14(화),한화,lose
9,04.16(목),한화,win
10,04.17(금),두산,lose
11,04.18(토),두산,win
12,04.19(일),두산,win
13,04.21(화),LG,win
14,04.22(수),LG,lose
15,04.23(목),LG,win
16,04.24(금),KIA,win
17,04.25(토),KIA,lose
18,04.26(일),KIA,lose
19,04.28(화),히어로즈,win
20,04.29(수),히어로즈,lose
21,04.30(목),히어로즈,lose
22,04.04(토),LG,win
23,04.05(일),LG,win
24,04.07(화),히어로즈,lose
25,04.08(수),히어로즈,lose
26,04.09(목),히어로즈,lose
27,04.10(금),KIA,win
28,04.11(토),KIA,win
29,04.12(일),KIA,lose
30,04.14(화),한화,lose
31,04.16(목),한화,win
32,04.17(금),두산,lose
33,04.18(토),두산,win
34,04.19(일),두산,win
35,04.21(화),LG,win
36,04.22(수),LG,lose
37,04.23(목),LG,win
38,04.24(금),KIA,win
39,04.25(토),KIA,lose
40,04.26(일),KIA,lose
41,04.28(화),히어로즈,win
42,04.29(수),히어로즈,lose
43,04.30(목),히어로즈,lose
44,05.01(금),SK,lose
45,05.02(토),SK,win
46,05.03(일),SK,lose
47,05.05(화),한화,win
48,05.06(수),한화,win
49,05.07(목),한화,win
50,05.08(금),LG,lose
51,05.09(토),LG,lose
52,05.10(일),LG,win
53,05.12(화),롯데,lose
54,05.13(수),롯데,lose
55,05.14(목),롯데,lose
56,05.15(금),두산,lose
57,05.17(일),두산,win
58,-,두산,lose
59,05.19(화),SK,lose
60,05.20(수),SK,lose
61,05.21(목),SK,lose
62,05.22(금),롯데,win
63,05.23(토),롯데,win
64,05.24(일),롯데,lose
65,05.26(화),한화,win
66,05.27(수),한화,lose
67,05.28(목),한화,win
68,05.29(금),SK,win
69,05.30(토),SK,win
70,05.31(일),SK,lose
71,06.02(화),히어로즈,win
72,06.03(수),히어로즈,win
73,06.04(목),히어로즈,win
74,06.05(금),KIA,lose
75,06.06(토),KIA,lose
76,06.07(일),KIA,lose
77,06.09(화),SK,win
78,06.10(수),SK,lose
79,06.11(목),SK,win
80,06.12(금),두산,lose
81,06.13(토),두산,lose
82,06.14(일),두산,lose
83,06.16(화),롯데,win
84,06.17(수),롯데,lose
85,06.18(목),롯데,lose
86,06.19(금),LG,lose
87,06.21(일),LG,lose
88,-,LG,lose
89,06.23(화),한화,win
90,06.24(수),한화,win
91,06.25(목),한화,win
92,06.26(금),두산,lose
93,06.27(토),두산,win
94,06.28(일),두산,win
95,07.01(수),KIA,win
96,07.02(목),KIA,lose
97,07.03(금),히어로즈,win
98,07.05(일),히어로즈,win
99,07.08(수),롯데,win
100,07.09(목),롯데,win
101,07.10(금),SK,win
102,07.11(토),SK,win
103,07.14(화),두산,lose
104,07.15(수),두산,win
105,07.16(목),두산,lose
106,07.18(토),LG,win
107,07.19(일),LG,win
108,07.21(화),히어로즈,win
109,07.22(수),히어로즈,lose
110,07.23(목),히어로즈,win
111,07.28(화),LG,lose
112,07.29(수),LG,lose
113,07.30(목),LG,win
114,07.31(금),KIA,lose
115,08.01(토),KIA,lose
116,08.02(일),KIA,lose
117,08.04(화),한화,win
118,08.05(수),한화,win
119,08.06(목),한화,win
120,08.07(금),롯데,lose
121,08.08(토),롯데,lose
122,08.09(일),롯데,win
123,08.12(수),히어로즈,win
124,08.13(목),히어로즈,lose
125,08.14(금),KIA,lose
126,08.15(토),KIA,win
127,08.16(일),KIA,lose
128,08.18(화),한화,win
129,08.19(수),한화,lose
130,08.21(금),두산,win
131,08.22(토),두산,lose
132,08.23(일),두산,lose
133,08.25(화),롯데,lose
134,08.26(수),롯데,win
135,08.27(목),롯데,win
136,08.28(금),SK,lose
137,08.29(토),SK,lose
138,08.30(일),SK,lose
139,09.02(수),KIA,lose
140,09.03(목),KIA,win
141,09.06(일),히어로즈,win
142,09.09(수),LG,win
143,09.10(목),LG,win
144,09.11(금),LG,lose
145,09.12(토),롯데,lose
146,09.13(일),롯데,lose
147,09.15(화),한화,lose
148,09.16(수),한화,win
149,09.19(토),히어로즈,win
150,09.20(일),히어로즈,win
151,09.22(화),SK,lose
152,09.23(수),SK,lose
153,09.24(목),두산,lose
154,09.25(금),한화,lose
