,날짜,상대팀,결과
0,04.03(토),키움,lose
1,04.04(일),키움,lose
2,04.06(화),두산,lose
3,04.07(수),두산,lose
4,04.08(목),두산,win
5,04.09(금),KT,win
6,04.10(토),KT,win
7,04.11(일),KT,win
8,04.13(화),한화,win
9,04.14(수),한화,lose
10,04.15(목),한화,win
11,04.16(금),롯데,lose
12,04.17(토),롯데,win
13,04.18(일),롯데,win
14,04.20(화),SSG,lose
15,04.21(수),SSG,win
16,04.22(목),SSG,lose
17,04.23(금),KIA,lose
18,04.24(토),KIA,win
19,04.25(일),KIA,win
20,04.27(화),NC,win
21,04.28(수),NC,win
22,04.29(목),NC,lose
23,04.30(금),LG,win
24,04.03(토),키움,lose
25,04.04(일),키움,lose
26,04.06(화),두산,lose
27,04.07(수),두산,lose
28,04.08(목),두산,win
29,04.09(금),KT,win
30,04.10(토),KT,win
31,04.11(일),KT,win
32,04.13(화),한화,win
33,04.14(수),한화,lose
34,04.15(목),한화,win
35,04.16(금),롯데,lose
36,04.17(토),롯데,win
37,04.18(일),롯데,win
38,04.20(화),SSG,lose
39,04.21(수),SSG,win
40,04.22(목),SSG,lose
41,04.23(금),KIA,lose
42,04.24(토),KIA,win
43,04.25(일),KIA,win
44,04.27(화),NC,win
45,04.28(수),NC,win
46,04.29(목),NC,lose
47,04.30(금),LG,win
48,05.01(토),LG,win
49,05.02(일),LG,win
50,05.04(화),한화,-
51,05.05(수),한화,win
52,05.06(목),한화,lose
53,05.07(금),롯데,win
54,05.08(토),롯데,lose
55,05.09(일),롯데,win
56,05.11(화),KT,lose
57,05.12(수),KT,win
58,05.13(목),KT,win
59,05.14(금),LG,lose
60,05.15(토),LG,lose
61,05.16(일),LG,-
62,05.17(월),LG,win
63,05.18(화),키움,lose
64,05.19(수),키움,lose
65,05.20(목),키움,-
66,05.21(금),KIA,win
67,05.22(토),KIA,lose
68,05.23(일),KIA,win
69,05.25(화),NC,-
70,05.26(수),NC,win
71,05.27(목),NC,lose
72,05.28(금),두산,lose
73,05.29(토),두산,win
74,05.30(일),두산,lose
75,06.01(화),SSG,lose
76,06.02(수),SSG,win
77,06.03(목),SSG,-
78,06.04(금),키움,win
79,06.05(토),키움,lose
80,06.06(일),키움,win
81,06.08(화),KIA,win
82,06.09(수),KIA,lose
83,06.10(목),KIA,win
84,06.11(금),NC,lose
85,06.12(토),NC,win
86,06.13(일),NC,win
87,06.15(화),두산,win
88,06.16(수),두산,win
89,06.17(목),두산,lose
90,06.18(금),롯데,lose
91,06.19(토),롯데,win
92,06.20(일),롯데,lose
93,06.22(화),한화,win
94,06.23(수),한화,win
95,06.24(목),한화,win
96,06.25(금),LG,-
97,06.26(토),LG,lose
98,-,LG,win
99,06.27(일),LG,lose
100,06.29(화),SSG,lose
101,06.30(수),SSG,draw
102,-,SSG,lose
103,07.01(목),SSG,win
104,07.02(금),NC,win
105,07.03(토),NC,-
106,07.04(일),NC,win
107,07.05(월),NC,-
108,07.06(화),KT,-
109,07.07(수),KT,-
110,07.08(목),KT,lose
111,07.09(금),롯데,lose
112,07.10(토),롯데,win
113,07.11(일),롯데,win
114,07.13(화),KIA,-
115,07.14(수),KIA,-
116,07.15(목),KIA,-
117,07.16(금),키움,-
118,07.17(토),키움,-
119,07.18(일),키움,-
120,08.10(화),두산,-
121,08.11(수),두산,lose
122,08.12(목),두산,win
123,08.13(금),KT,lose
124,08.14(토),KT,lose
125,08.15(일),KT,lose
126,08.17(화),한화,lose
127,08.18(수),한화,win
128,08.19(목),한화,win
129,08.20(금),SSG,win
130,08.21(토),SSG,-
131,08.22(일),SSG,draw
132,08.23(월),SSG,-
133,08.24(화),SSG,win
134,08.25(수),LG,draw
135,08.26(목),LG,lose
136,08.27(금),LG,lose
137,08.28(토),KT,win
138,08.29(일),KT,lose
139,08.31(화),키움,win
140,09.01(수),키움,win
141,-,키움,-
142,09.02(목),KIA,win
143,09.03(금),KIA,win
144,09.04(토),두산,win
145,09.05(일),두산,lose
146,09.07(화),롯데,lose
147,09.08(수),롯데,lose
148,09.09(목),KT,win
149,09.10(금),KT,draw
150,09.11(토),한화,win
151,09.12(일),한화,draw
152,-,한화,draw
153,09.14(화),LG,draw
154,09.15(수),LG,lose
155,09.16(목),KIA,lose
156,09.17(금),KIA,win
157,09.18(토),SSG,win
158,09.19(일),SSG,draw
159,09.21(화),롯데,win
160,09.22(수),롯데,lose
161,09.23(목),LG,win
162,09.24(금),LG,lose
163,09.25(토),NC,win
164,09.26(일),NC,win
165,09.28(화),SSG,lose
166,09.29(수),SSG,-
167,09.30(목),한화,win
168,10.01(금),한화,lose
169,10.02(토),두산,lose
170,10.03(일),두산,win
171,10.05(화),키움,lose
172,10.06(수),키움,win
173,10.07(목),NC,win
174,10.08(금),NC,lose
175,10.12(화),KIA,win
176,10.13(수),KIA,win
177,10.14(목),KIA,lose
178,10.15(금),키움,lose
179,10.16(토),키움,win
180,-,키움,win
181,10.17(일),키움,win
182,10.19(화),두산,lose
183,10.22(금),KT,win
184,10.23(토),KT,win
185,10.24(일),SSG,draw
186,10.27(수),키움,lose
187,10.29(금),NC,lose
188,10.30(토),NC,win
