,날짜,상대팀,결과
0,04.04(일),롯데,win
1,04.05(월),롯데,lose
2,04.06(화),KIA,lose
3,04.07(수),KIA,win
4,04.08(목),KIA,win
5,04.09(금),한화,lose
6,04.10(토),한화,draw
7,04.11(일),한화,win
8,04.13(화),LG,win
9,04.14(수),LG,lose
10,04.15(목),LG,lose
11,04.16(금),두산,win
12,04.17(토),두산,draw
13,04.18(일),두산,lose
14,04.20(화),현대,lose
15,04.21(수),현대,win
16,04.22(목),현대,lose
17,04.23(금),한화,lose
18,04.24(토),한화,win
19,04.25(일),한화,lose
20,04.28(수),롯데,win
21,-,롯데,win
22,04.29(목),롯데,win
23,04.30(금),두산,win
24,04.04(일),롯데,win
25,04.05(월),롯데,lose
26,04.06(화),KIA,lose
27,04.07(수),KIA,win
28,04.08(목),KIA,win
29,04.09(금),한화,lose
30,04.10(토),한화,draw
31,04.11(일),한화,win
32,04.13(화),LG,win
33,04.14(수),LG,lose
34,04.15(목),LG,lose
35,04.16(금),두산,win
36,04.17(토),두산,draw
37,04.18(일),두산,lose
38,04.20(화),현대,lose
39,04.21(수),현대,win
40,04.22(목),현대,lose
41,04.23(금),한화,lose
42,04.24(토),한화,win
43,04.25(일),한화,lose
44,04.28(수),롯데,win
45,-,롯데,win
46,04.29(목),롯데,win
47,04.30(금),두산,win
48,05.01(토),두산,lose
49,05.02(일),두산,win
50,05.04(화),현대,win
51,05.05(수),현대,lose
52,05.06(목),현대,lose
53,05.07(금),SK,lose
54,05.08(토),SK,lose
55,05.11(화),한화,lose
56,05.13(목),한화,lose
57,-,한화,lose
58,05.14(금),LG,draw
59,05.15(토),LG,lose
60,05.16(일),LG,lose
61,05.18(화),KIA,lose
62,05.19(수),KIA,win
63,05.20(목),KIA,win
64,05.21(금),SK,win
65,05.22(토),SK,win
66,05.23(일),SK,win
67,05.25(화),LG,win
68,05.26(수),LG,lose
69,05.28(금),현대,win
70,05.29(토),현대,win
71,06.01(화),롯데,draw
72,06.02(수),롯데,win
73,06.03(목),롯데,win
74,06.04(금),SK,lose
75,06.05(토),SK,lose
76,06.06(일),SK,win
77,06.08(화),KIA,win
78,06.09(수),KIA,win
79,06.10(목),KIA,lose
80,06.11(금),현대,draw
81,06.12(토),현대,win
82,06.13(일),현대,draw
83,06.15(화),두산,lose
84,06.16(수),두산,lose
85,06.18(금),SK,win
86,06.22(화),한화,win
87,06.23(수),한화,win
88,06.24(목),한화,win
89,06.25(금),롯데,win
90,06.26(토),롯데,lose
91,06.27(일),롯데,win
92,06.29(화),LG,win
93,06.30(수),LG,win
94,07.01(목),LG,win
95,07.02(금),두산,lose
96,07.06(화),KIA,win
97,07.07(수),KIA,lose
98,07.08(목),KIA,win
99,07.09(금),현대,lose
100,07.10(토),현대,lose
101,07.11(일),현대,lose
102,07.13(화),두산,win
103,07.14(수),두산,win
104,07.20(화),한화,lose
105,07.21(수),한화,lose
106,07.22(목),한화,win
107,07.24(토),롯데,win
108,07.25(일),롯데,win
109,07.27(화),LG,win
110,07.28(수),LG,win
111,07.30(금),두산,win
112,07.31(토),두산,lose
113,08.01(일),두산,lose
114,08.03(화),SK,win
115,08.04(수),SK,win
116,08.05(목),SK,win
117,08.07(토),한화,lose
118,08.08(일),한화,win
119,08.10(화),KIA,win
120,08.11(수),KIA,win
121,08.15(일),LG,lose
122,08.17(화),KIA,win
123,08.19(목),KIA,win
124,08.20(금),현대,lose
125,08.21(토),현대,win
126,08.24(화),롯데,win
127,08.25(수),롯데,win
128,08.27(금),SK,win
129,08.28(토),SK,win
130,-,SK,lose
131,08.29(일),SK,lose
132,08.31(화),한화,win
133,09.01(수),한화,win
134,09.03(금),현대,lose
135,09.04(토),현대,win
136,09.05(일),현대,lose
137,09.08(수),SK,draw
138,-,SK,lose
139,09.09(목),SK,lose
140,09.10(금),LG,lose
141,09.14(화),롯데,win
142,09.15(수),롯데,win
143,09.16(목),롯데,win
144,09.18(토),두산,lose
145,09.19(일),두산,lose
146,-,두산,win
147,09.21(화),KIA,lose
148,09.22(수),KIA,lose
149,09.24(금),롯데,win
150,09.25(토),KIA,draw
151,09.28(화),LG,win
152,09.29(수),LG,win
153,09.30(목),LG,win
154,10.03(일),LG,win
155,10.04(월),두산,win
156,10.05(화),두산,lose
