,날짜,상대팀,결과
0,04.06(금),두산,win
1,04.07(토),두산,lose
2,04.08(일),두산,win
3,04.10(화),SK,win
4,04.11(수),SK,lose
5,04.12(목),SK,draw
6,04.13(금),KIA,win
7,04.14(토),KIA,lose
8,04.15(일),KIA,lose
9,04.17(화),롯데,win
10,04.18(수),롯데,lose
11,04.19(목),롯데,win
12,04.21(토),LG,win
13,04.22(일),LG,win
14,04.24(화),KIA,lose
15,04.25(수),KIA,win
16,04.26(목),KIA,win
17,04.27(금),현대,lose
18,04.28(토),현대,lose
19,04.29(일),현대,lose
20,04.06(금),두산,win
21,04.07(토),두산,lose
22,04.08(일),두산,win
23,04.10(화),SK,win
24,04.11(수),SK,lose
25,04.12(목),SK,draw
26,04.13(금),KIA,win
27,04.14(토),KIA,lose
28,04.15(일),KIA,lose
29,04.17(화),롯데,win
30,04.18(수),롯데,lose
31,04.19(목),롯데,win
32,04.21(토),LG,win
33,04.22(일),LG,win
34,04.24(화),KIA,lose
35,04.25(수),KIA,win
36,04.26(목),KIA,win
37,04.27(금),현대,lose
38,04.28(토),현대,lose
39,04.29(일),현대,lose
40,05.02(수),한화,lose
41,05.03(목),한화,lose
42,05.04(금),롯데,lose
43,05.05(토),롯데,lose
44,05.06(일),롯데,win
45,05.08(화),두산,lose
46,05.10(목),두산,draw
47,05.11(금),현대,lose
48,05.13(일),현대,win
49,05.15(화),한화,win
50,05.17(목),한화,win
51,05.18(금),LG,lose
52,05.19(토),LG,lose
53,05.20(일),LG,win
54,05.22(화),SK,win
55,05.23(수),SK,draw
56,05.24(목),SK,win
57,05.25(금),현대,lose
58,05.26(토),현대,win
59,05.27(일),현대,lose
60,05.29(화),LG,lose
61,05.30(수),LG,win
62,05.31(목),LG,lose
63,06.01(금),한화,win
64,06.02(토),한화,win
65,06.03(일),한화,win
66,06.05(화),롯데,win
67,06.06(수),롯데,win
68,06.07(목),롯데,lose
69,06.08(금),두산,lose
70,06.09(토),두산,win
71,06.10(일),두산,lose
72,06.12(화),KIA,win
73,06.13(수),KIA,lose
74,06.14(목),KIA,lose
75,06.15(금),현대,lose
76,06.16(토),현대,lose
77,06.17(일),현대,win
78,06.19(화),LG,lose
79,06.20(수),LG,win
80,06.22(금),한화,win
81,06.24(일),한화,lose
82,06.26(화),두산,win
83,06.27(수),두산,lose
84,06.28(목),두산,win
85,06.29(금),롯데,win
86,06.30(토),롯데,lose
87,07.03(화),SK,lose
88,07.04(수),SK,win
89,07.05(목),SK,lose
90,07.06(금),두산,lose
91,07.07(토),두산,win
92,07.08(일),두산,lose
93,07.11(수),KIA,win
94,07.12(목),KIA,lose
95,07.13(금),현대,win
96,07.14(토),현대,lose
97,07.15(일),현대,lose
98,07.20(금),한화,win
99,07.21(토),한화,win
100,07.22(일),한화,win
101,07.24(화),두산,lose
102,07.25(수),두산,win
103,07.26(목),두산,win
104,07.27(금),KIA,win
105,07.28(토),KIA,win
106,07.29(일),KIA,lose
107,07.31(화),LG,lose
108,08.01(수),LG,win
109,08.02(목),LG,win
110,08.03(금),SK,win
111,08.04(토),SK,win
112,08.05(일),SK,lose
113,08.08(수),롯데,win
114,08.09(목),롯데,lose
115,08.10(금),현대,win
116,08.11(토),현대,win
117,08.16(목),SK,lose
118,08.17(금),LG,win
119,08.18(토),LG,win
120,08.19(일),LG,lose
121,08.21(화),롯데,win
122,08.23(목),롯데,lose
123,08.24(금),KIA,win
124,08.25(토),KIA,lose
125,08.28(화),한화,lose
126,08.31(금),SK,win
127,09.02(일),SK,win
128,09.07(금),현대,win
129,09.08(토),LG,draw
130,09.09(일),LG,win
131,09.13(목),한화,lose
132,09.18(화),KIA,win
133,09.20(목),SK,lose
134,09.22(토),두산,lose
135,09.23(일),SK,lose
136,09.25(화),한화,lose
137,09.26(수),한화,lose
138,09.27(목),한화,lose
139,09.29(토),롯데,win
140,09.30(일),현대,lose
141,10.01(월),KIA,win
142,10.02(화),SK,lose
143,10.03(수),한화,win
144,10.04(목),롯데,lose
145,10.05(금),롯데,lose
