,날짜,상대팀,결과
0,03.29(토),KIA,lose
1,03.30(일),KIA,win
2,03.29(토),KIA,lose
3,03.30(일),KIA,win
4,04.01(화),한화,win
5,04.02(수),한화,lose
6,04.03(목),한화,-
7,04.04(금),롯데,lose
8,04.05(토),롯데,lose
9,04.06(일),롯데,win
10,04.11(금),SK,lose
11,04.12(토),SK,lose
12,04.13(일),SK,win
13,04.15(화),두산,lose
14,04.16(수),두산,lose
15,04.17(목),두산,-
16,04.18(금),NC,win
17,04.19(토),NC,lose
18,04.20(일),NC,win
19,04.22(화),LG,win
20,04.23(수),LG,win
21,04.24(목),LG,win
22,04.25(금),넥센,win
23,04.26(토),넥센,lose
24,04.27(일),넥센,win
25,05.03(토),NC,lose
26,05.04(일),NC,win
27,05.05(월),NC,win
28,05.06(화),SK,win
29,05.07(수),SK,win
30,05.08(목),SK,win
31,05.09(금),두산,win
32,05.10(토),두산,lose
33,05.11(일),두산,lose
34,05.13(화),한화,win
35,05.14(수),한화,win
36,05.15(목),한화,draw
37,05.16(금),KIA,win
38,05.17(토),KIA,win
39,05.18(일),KIA,win
40,05.20(화),롯데,win
41,05.21(수),롯데,win
42,05.22(목),롯데,win
43,05.23(금),넥센,win
44,05.24(토),넥센,win
45,05.25(일),넥센,win
46,05.27(화),LG,lose
47,05.28(수),LG,win
48,05.29(목),LG,win
49,06.03(화),KIA,win
50,06.04(수),KIA,win
51,06.05(목),KIA,lose
52,06.06(금),한화,lose
53,06.07(토),한화,win
54,06.08(일),한화,win
55,06.10(화),넥센,draw
56,06.11(수),넥센,-
57,06.12(목),넥센,lose
58,06.13(금),두산,lose
59,06.14(토),두산,win
60,06.15(일),두산,win
61,06.17(화),SK,win
62,06.18(수),SK,win
63,06.19(목),SK,win
64,06.20(금),NC,win
65,06.21(토),NC,-
66,06.22(일),NC,win
67,06.23(월),NC,-
68,06.24(화),넥센,lose
69,06.25(수),넥센,win
70,06.26(목),넥센,lose
71,06.27(금),한화,lose
72,06.28(토),한화,win
73,06.29(일),한화,win
74,07.04(금),두산,lose
75,07.05(토),두산,win
76,07.06(일),두산,win
77,07.08(화),롯데,win
78,07.09(수),롯데,win
79,07.10(목),롯데,lose
80,07.11(금),SK,win
81,07.12(토),SK,lose
82,07.13(일),SK,lose
83,07.15(화),LG,lose
84,07.16(수),LG,lose
85,07.22(화),롯데,win
86,07.23(수),롯데,win
87,07.24(목),롯데,win
88,07.25(금),NC,win
89,07.26(토),NC,win
90,07.27(일),NC,win
91,07.29(화),LG,lose
92,07.30(수),LG,win
93,07.31(목),LG,win
94,08.01(금),KIA,win
95,08.02(토),KIA,-
96,08.03(일),KIA,-
97,08.04(월),KIA,-
98,08.05(화),한화,win
99,08.06(수),한화,lose
100,08.07(목),롯데,-
101,08.08(금),롯데,win
102,08.09(토),넥센,win
103,08.10(일),넥센,-
104,08.11(월),넥센,win
105,08.14(목),SK,win
106,08.15(금),SK,lose
107,08.16(토),LG,win
108,08.17(일),LG,-
109,08.18(월),LG,-
110,08.19(화),KIA,-
111,08.20(수),KIA,-
112,08.21(목),두산,win
113,08.22(금),두산,lose
114,08.23(토),SK,win
115,08.24(일),SK,lose
116,08.26(화),롯데,win
117,08.27(수),롯데,lose
118,08.28(목),두산,lose
119,08.29(금),두산,lose
120,08.30(토),넥센,lose
121,08.31(일),넥센,lose
122,09.02(화),NC,draw
123,09.03(수),NC,-
124,09.04(목),한화,win
125,09.05(금),한화,win
126,09.09(화),NC,lose
127,09.10(수),NC,win
128,09.11(목),KIA,win
129,09.12(금),KIA,win
130,09.13(토),LG,lose
131,09.14(일),LG,lose
132,10.01(수),롯데,win
133,10.04(토),KIA,win
134,10.05(일),KIA,win
135,10.06(월),두산,lose
136,10.07(화),LG,lose
137,10.08(수),넥센,lose
138,10.09(목),NC,lose
139,10.11(토),KIA,lose
140,10.12(일),KIA,win
141,10.13(월),한화,win
142,10.14(화),NC,lose
143,10.15(수),LG,win
144,10.16(목),KIA,lose
