,날짜,상대팀,결과
0,03.31(금),KIA,lose
1,03.31(금),KIA,lose
2,04.01(토),KIA,lose
3,04.02(일),KIA,win
4,04.04(화),LG,lose
5,04.05(수),LG,-
6,04.06(목),LG,lose
7,04.07(금),KT,lose
8,04.08(토),KT,lose
9,04.09(일),KT,lose
10,04.11(화),한화,lose
11,04.12(수),한화,lose
12,04.13(목),한화,win
13,04.14(금),롯데,lose
14,04.15(토),롯데,lose
15,04.16(일),롯데,win
16,04.18(화),두산,draw
17,04.19(수),두산,lose
18,04.20(목),두산,lose
19,04.21(금),NC,draw
20,04.22(토),NC,lose
21,04.23(일),NC,lose
22,04.25(화),KIA,lose
23,04.26(수),KIA,lose
24,04.27(목),KIA,lose
25,04.28(금),SK,lose
26,04.29(토),SK,win
27,04.30(일),SK,lose
28,05.02(화),두산,win
29,05.03(수),두산,lose
30,05.04(목),두산,lose
31,05.05(금),NC,lose
32,05.06(토),NC,win
33,05.07(일),NC,lose
34,05.09(화),LG,-
35,05.10(수),LG,lose
36,05.11(목),LG,lose
37,05.12(금),넥센,win
38,05.13(토),넥센,lose
39,05.14(일),넥센,lose
40,05.16(화),SK,win
41,05.17(수),SK,win
42,05.18(목),SK,lose
43,05.19(금),한화,win
44,05.20(토),한화,win
45,05.21(일),한화,win
46,05.23(화),KT,lose
47,05.24(수),KT,lose
48,05.25(목),KT,win
49,05.26(금),넥센,lose
50,05.27(토),넥센,lose
51,05.28(일),넥센,win
52,05.30(화),롯데,lose
53,05.31(수),롯데,win
54,06.01(목),롯데,win
55,06.02(금),KIA,win
56,06.03(토),KIA,win
57,06.04(일),KIA,lose
58,06.06(화),두산,win
59,06.07(수),두산,lose
60,06.08(목),두산,lose
61,06.09(금),한화,win
62,06.10(토),한화,lose
63,06.11(일),한화,win
64,06.13(화),KT,win
65,06.14(수),KT,lose
66,06.15(목),KT,win
67,06.16(금),SK,lose
68,06.17(토),SK,lose
69,06.18(일),SK,win
70,06.20(화),LG,lose
71,06.21(수),LG,win
72,06.22(목),LG,win
73,06.23(금),한화,win
74,06.24(토),한화,win
75,06.25(일),한화,draw
76,06.27(화),KIA,lose
77,06.28(수),KIA,lose
78,06.29(목),KIA,lose
79,06.30(금),SK,lose
80,07.01(토),SK,win
81,07.02(일),SK,lose
82,07.04(화),롯데,win
83,07.05(수),롯데,win
84,07.06(목),롯데,lose
85,07.07(금),넥센,lose
86,07.08(토),넥센,lose
87,07.09(일),넥센,win
88,07.11(화),KT,win
89,07.12(수),KT,win
90,07.13(목),KT,lose
91,07.18(화),롯데,lose
92,07.19(수),롯데,win
93,07.20(목),롯데,draw
94,07.21(금),LG,lose
95,07.22(토),LG,-
96,07.23(일),LG,win
97,07.25(화),NC,win
98,07.26(수),NC,win
99,07.27(목),NC,lose
100,07.28(금),넥센,win
101,07.29(토),넥센,lose
102,07.30(일),넥센,lose
103,08.01(화),두산,lose
104,08.02(수),두산,lose
105,08.03(목),두산,lose
106,08.04(금),NC,win
107,08.05(토),NC,win
108,08.06(일),NC,lose
109,08.08(화),LG,lose
110,08.09(수),LG,win
111,08.10(목),한화,-
112,08.11(금),한화,lose
113,08.12(토),롯데,win
114,08.13(일),롯데,lose
115,08.15(화),넥센,-
116,08.16(수),넥센,lose
117,08.17(목),KT,win
118,08.18(금),KT,win
119,08.19(토),LG,lose
120,08.20(일),LG,-
121,08.22(화),넥센,lose
122,08.23(수),넥센,lose
123,08.24(목),SK,lose
124,08.25(금),SK,lose
125,08.26(토),KT,win
126,08.27(일),KT,lose
127,08.29(화),KIA,lose
128,08.30(수),KIA,lose
129,08.31(목),SK,lose
130,09.01(금),SK,lose
131,09.02(토),두산,win
132,09.03(일),두산,lose
133,09.05(화),NC,win
134,09.06(수),NC,-
135,09.07(목),롯데,win
136,09.08(금),롯데,lose
137,09.09(토),KIA,lose
138,09.10(일),KIA,win
139,09.12(화),한화,lose
140,09.13(수),한화,win
141,09.14(목),NC,draw
142,09.15(금),NC,win
143,09.16(토),두산,lose
144,09.17(일),두산,lose
145,09.21(목),LG,win
146,09.22(금),LG,lose
147,09.23(토),한화,lose
148,09.27(수),NC,lose
149,09.30(토),LG,lose
150,10.01(일),LG,win
151,10.03(화),넥센,win
