,날짜,상대팀,결과
0,04.05(토),두산,win
1,04.06(일),두산,win
2,04.08(화),롯데,win
3,04.09(수),롯데,win
4,04.10(목),롯데,win
5,04.11(금),한화,win
6,04.12(토),한화,win
7,04.13(일),한화,win
8,04.15(화),현대,win
9,04.16(수),현대,win
10,04.17(목),현대,lose
11,04.19(토),SK,win
12,04.22(화),KIA,win
13,04.24(목),KIA,draw
14,04.26(토),LG,win
15,-,LG,lose
16,04.27(일),LG,win
17,04.30(수),현대,lose
18,-,현대,lose
19,04.05(토),두산,win
20,04.06(일),두산,win
21,04.08(화),롯데,win
22,04.09(수),롯데,win
23,04.10(목),롯데,win
24,04.11(금),한화,win
25,04.12(토),한화,win
26,04.13(일),한화,win
27,04.15(화),현대,win
28,04.16(수),현대,win
29,04.17(목),현대,lose
30,04.19(토),SK,win
31,04.22(화),KIA,win
32,04.24(목),KIA,draw
33,04.26(토),LG,win
34,-,LG,lose
35,04.27(일),LG,win
36,04.30(수),현대,lose
37,-,현대,lose
38,05.01(목),현대,win
39,05.03(토),롯데,win
40,05.04(일),롯데,lose
41,05.05(월),롯데,win
42,05.06(화),KIA,lose
43,05.09(금),두산,win
44,05.10(토),두산,win
45,05.11(일),두산,win
46,05.13(화),LG,lose
47,05.15(목),LG,win
48,-,LG,win
49,05.16(금),SK,lose
50,05.17(토),SK,lose
51,05.18(일),SK,win
52,05.20(화),한화,draw
53,05.21(수),한화,lose
54,05.22(목),한화,win
55,05.23(금),KIA,lose
56,05.24(토),KIA,lose
57,05.27(화),두산,win
58,05.28(수),두산,lose
59,05.29(목),두산,win
60,05.30(금),SK,lose
61,05.31(토),SK,win
62,-,SK,lose
63,06.01(일),SK,lose
64,06.03(화),KIA,win
65,06.04(수),KIA,lose
66,-,KIA,win
67,06.05(목),KIA,lose
68,06.06(금),한화,win
69,06.07(토),한화,lose
70,06.08(일),한화,lose
71,06.10(화),롯데,win
72,06.11(수),롯데,win
73,06.13(금),현대,win
74,06.14(토),현대,win
75,06.15(일),현대,win
76,06.17(화),LG,win
77,06.18(수),LG,win
78,06.19(목),LG,lose
79,06.20(금),SK,lose
80,06.21(토),SK,win
81,06.22(일),SK,win
82,06.24(화),롯데,win
83,06.25(수),롯데,win
84,06.26(목),롯데,win
85,06.28(토),현대,win
86,07.01(화),두산,lose
87,07.02(수),두산,win
88,07.03(목),두산,win
89,07.05(토),한화,win
90,07.11(금),한화,lose
91,07.12(토),한화,lose
92,07.19(토),LG,win
93,07.23(수),두산,win
94,07.24(목),두산,win
95,07.25(금),SK,win
96,07.26(토),SK,lose
97,07.29(화),롯데,win
98,07.30(수),롯데,win
99,07.31(목),롯데,win
100,08.01(금),현대,lose
101,08.02(토),현대,lose
102,08.03(일),현대,lose
103,08.06(수),두산,lose
104,08.07(목),두산,win
105,-,두산,lose
106,08.08(금),LG,win
107,08.09(토),LG,win
108,08.10(일),LG,lose
109,08.12(화),한화,win
110,08.13(수),한화,lose
111,08.14(목),한화,win
112,08.15(금),현대,win
113,08.16(토),현대,lose
114,08.17(일),현대,win
115,08.19(화),SK,win
116,-,SK,lose
117,08.21(목),SK,lose
118,08.22(금),LG,win
119,08.25(월),LG,win
120,08.26(화),KIA,lose
121,08.28(목),KIA,lose
122,08.29(금),롯데,win
123,08.31(일),롯데,lose
124,-,롯데,lose
125,09.03(수),KIA,lose
126,-,KIA,lose
127,09.04(목),KIA,win
128,09.05(금),현대,win
129,09.06(토),현대,win
130,09.08(월),현대,win
131,09.09(화),한화,lose
132,09.10(수),한화,win
133,09.11(목),한화,win
134,09.13(토),SK,lose
135,09.14(일),SK,lose
136,09.16(화),두산,lose
137,09.17(수),두산,lose
138,09.18(목),두산,win
139,09.19(금),한화,draw
140,09.20(토),LG,win
141,09.21(일),LG,win
142,09.23(화),KIA,lose
143,09.24(수),KIA,draw
144,-,KIA,win
145,09.25(목),KIA,lose
146,09.27(토),롯데,win
147,09.28(일),SK,lose
148,09.29(월),LG,win
149,09.30(화),LG,lose
150,10.01(수),KIA,lose
151,10.02(목),롯데,lose
