,날짜,상대팀,결과
0,04.01(금),두산,lose
1,04.02(토),두산,win
2,04.03(일),두산,-
3,04.05(화),KT,lose
4,04.06(수),KT,win
5,04.07(목),KT,win
6,04.08(금),롯데,win
7,04.09(토),롯데,lose
8,04.10(일),롯데,lose
9,04.12(화),NC,win
10,04.13(수),NC,lose
11,04.14(목),NC,win
12,04.15(금),두산,lose
13,04.16(토),두산,-
14,04.17(일),두산,lose
15,04.19(화),KIA,lose
16,04.20(수),KIA,win
17,04.21(목),KIA,win
18,04.22(금),KT,lose
19,04.23(토),KT,lose
20,04.24(일),KT,win
21,04.26(화),LG,lose
22,04.27(수),LG,-
23,04.28(목),LG,win
24,04.29(금),한화,lose
25,04.30(토),한화,win
26,04.01(금),두산,lose
27,04.02(토),두산,win
28,04.03(일),두산,-
29,04.05(화),KT,lose
30,04.06(수),KT,win
31,04.07(목),KT,win
32,04.08(금),롯데,win
33,04.09(토),롯데,lose
34,04.10(일),롯데,lose
35,04.12(화),NC,win
36,04.13(수),NC,lose
37,04.14(목),NC,win
38,04.15(금),두산,lose
39,04.16(토),두산,-
40,04.17(일),두산,lose
41,04.19(화),KIA,lose
42,04.20(수),KIA,win
43,04.21(목),KIA,win
44,04.22(금),KT,lose
45,04.23(토),KT,lose
46,04.24(일),KT,win
47,04.26(화),LG,lose
48,04.27(수),LG,-
49,04.28(목),LG,win
50,04.29(금),한화,lose
51,04.30(토),한화,win
52,05.01(일),한화,lose
53,05.03(화),넥센,lose
54,05.04(수),넥센,lose
55,05.05(목),넥센,win
56,05.06(금),SK,win
57,05.07(토),SK,lose
58,05.08(일),SK,win
59,05.10(화),LG,win
60,05.11(수),LG,lose
61,05.12(목),LG,win
62,05.13(금),롯데,lose
63,05.14(토),롯데,win
64,05.15(일),롯데,lose
65,05.17(화),한화,win
66,05.18(수),한화,win
67,05.19(목),한화,lose
68,05.20(금),NC,win
69,05.21(토),NC,lose
70,05.22(일),NC,lose
71,05.24(화),KIA,lose
72,05.25(수),KIA,win
73,05.26(목),KIA,lose
74,05.27(금),SK,lose
75,05.28(토),SK,win
76,05.29(일),SK,win
77,05.31(화),넥센,win
78,06.01(수),넥센,lose
79,06.02(목),넥센,win
80,06.03(금),한화,lose
81,06.04(토),한화,lose
82,06.05(일),한화,lose
83,06.07(화),LG,win
84,06.08(수),LG,lose
85,06.09(목),LG,lose
86,06.10(금),KIA,lose
87,06.11(토),KIA,win
88,06.12(일),KIA,win
89,06.14(화),SK,lose
90,06.15(수),SK,lose
91,06.16(목),SK,lose
92,06.17(금),두산,win
93,06.18(토),두산,lose
94,06.19(일),두산,lose
95,06.21(화),넥센,lose
96,06.22(수),넥센,lose
97,06.23(목),넥센,win
98,06.24(금),KT,lose
99,06.25(토),KT,lose
100,06.26(일),KT,win
101,06.28(화),롯데,lose
102,06.29(수),롯데,lose
103,06.30(목),롯데,lose
104,07.01(금),NC,-
105,07.02(토),NC,-
106,07.03(일),NC,-
107,07.05(화),LG,win
108,07.06(수),LG,-
109,07.07(목),LG,win
110,07.08(금),한화,lose
111,07.09(토),한화,draw
112,07.10(일),한화,lose
113,07.12(화),롯데,win
114,07.13(수),롯데,lose
115,07.14(목),롯데,lose
116,07.19(화),두산,lose
117,07.20(수),두산,win
118,07.21(목),두산,win
119,07.22(금),KT,lose
120,07.23(토),KT,win
121,07.24(일),KT,lose
122,07.26(화),NC,lose
123,07.27(수),NC,win
124,07.28(목),NC,lose
125,07.29(금),넥센,win
126,07.30(토),넥센,-
127,07.31(일),넥센,-
128,08.02(화),SK,-
129,08.03(수),SK,lose
130,08.04(목),SK,win
131,08.05(금),KIA,win
132,08.06(토),KIA,lose
133,08.07(일),KIA,win
134,08.09(화),한화,lose
135,08.10(수),한화,win
136,08.11(목),두산,lose
137,08.12(금),두산,lose
138,08.13(토),LG,win
139,08.14(일),LG,win
140,08.16(화),NC,win
141,08.17(수),NC,lose
142,08.18(목),KT,win
143,08.19(금),KT,win
144,08.20(토),넥센,lose
145,08.21(일),넥센,lose
146,08.23(화),SK,win
147,08.24(수),SK,lose
148,08.25(목),KIA,lose
149,08.26(금),KIA,-
150,08.27(토),롯데,win
151,08.28(일),롯데,-
152,08.30(화),넥센,win
153,08.31(수),넥센,lose
154,09.01(목),KIA,lose
155,09.02(금),KIA,-
156,09.03(토),두산,win
157,09.04(일),두산,lose
158,09.06(화),KT,win
159,09.07(수),KT,lose
160,09.08(목),롯데,lose
161,09.09(금),롯데,win
162,09.10(토),NC,win
163,09.11(일),NC,win
164,09.13(화),한화,lose
165,09.14(수),한화,win
166,09.15(목),SK,win
167,09.16(금),SK,win
168,09.17(토),LG,lose
169,09.18(일),LG,lose
170,09.20(화),두산,lose
171,09.21(수),롯데,lose
172,09.23(금),두산,win
173,09.24(토),넥센,win
174,09.25(일),넥센,win
175,09.27(화),NC,win
176,09.28(수),NC,-
177,09.29(목),NC,lose
178,-,NC,lose
179,09.30(금),KIA,-
180,10.03(월),LG,lose
181,10.04(화),LG,win
182,10.05(수),KIA,lose
183,10.06(목),KIA,win
184,10.08(토),SK,lose
