,날짜,상대팀,결과
0,03.23(토),NC,lose
1,03.24(일),NC,win
2,03.26(화),롯데,lose
3,03.27(수),롯데,win
4,03.28(목),롯데,win
5,03.29(금),두산,lose
6,03.30(토),두산,lose
7,03.31(일),두산,lose
8,03.23(토),NC,lose
9,03.24(일),NC,win
10,03.26(화),롯데,lose
11,03.27(수),롯데,win
12,03.28(목),롯데,win
13,03.29(금),두산,lose
14,03.30(토),두산,lose
15,03.31(일),두산,lose
16,04.02(화),KIA,lose
17,04.03(수),KIA,win
18,04.04(목),KIA,win
19,04.05(금),SK,lose
20,04.06(토),SK,lose
21,04.07(일),SK,lose
22,04.09(화),LG,-
23,04.10(수),LG,win
24,04.11(목),LG,lose
25,04.12(금),KT,win
26,04.13(토),KT,lose
27,04.14(일),KT,win
28,04.16(화),키움,lose
29,04.17(수),키움,lose
30,04.18(목),키움,win
31,04.19(금),한화,lose
32,04.20(토),한화,lose
33,04.21(일),한화,win
34,04.23(화),SK,-
35,04.24(수),SK,lose
36,04.25(목),SK,lose
37,04.26(금),LG,-
38,04.27(토),LG,lose
39,04.28(일),LG,lose
40,04.30(화),KIA,lose
41,05.01(수),KIA,win
42,05.02(목),KIA,lose
43,05.03(금),키움,lose
44,05.04(토),키움,win
45,05.05(일),키움,lose
46,05.07(화),NC,win
47,05.08(수),NC,win
48,05.09(목),NC,win
49,05.10(금),롯데,lose
50,05.11(토),롯데,win
51,05.12(일),롯데,lose
52,05.14(화),두산,win
53,05.15(수),두산,lose
54,05.16(목),두산,lose
55,05.17(금),KT,win
56,05.18(토),KT,lose
57,05.19(일),KT,-
58,05.21(화),한화,win
59,05.22(수),한화,win
60,05.23(목),한화,win
61,05.24(금),키움,lose
62,05.25(토),키움,win
63,05.26(일),키움,win
64,05.28(화),두산,lose
65,05.29(수),두산,lose
66,05.30(목),두산,win
67,05.31(금),롯데,lose
68,06.01(토),롯데,lose
69,06.02(일),롯데,win
70,06.04(화),NC,win
71,06.05(수),NC,win
72,06.06(목),NC,win
73,06.07(금),SK,lose
74,06.08(토),SK,lose
75,06.09(일),SK,win
76,06.11(화),KIA,lose
77,06.12(수),KIA,lose
78,06.13(목),KIA,lose
79,06.14(금),KT,win
80,06.15(토),KT,lose
81,06.16(일),KT,lose
82,06.18(화),LG,win
83,06.19(수),LG,lose
84,06.20(목),LG,lose
85,06.21(금),한화,win
86,06.22(토),한화,lose
87,06.23(일),한화,win
88,06.25(화),두산,win
89,06.26(수),두산,-
90,06.27(목),두산,lose
91,06.28(금),SK,win
92,06.29(토),SK,-
93,06.30(일),SK,lose
94,07.02(화),KT,lose
95,07.03(수),KT,lose
96,07.04(목),KT,lose
97,07.05(금),NC,lose
98,07.06(토),NC,draw
99,07.07(일),NC,win
100,07.09(화),KIA,win
101,07.10(수),KIA,-
102,07.11(목),KIA,win
103,07.12(금),LG,win
104,07.13(토),LG,lose
105,07.14(일),LG,lose
106,07.16(화),키움,lose
107,07.17(수),키움,lose
108,07.18(목),키움,lose
109,07.26(금),한화,win
110,07.27(토),한화,win
111,07.28(일),한화,win
112,07.30(화),롯데,win
113,07.31(수),롯데,lose
114,08.01(목),롯데,lose
115,08.03(토),LG,lose
116,08.04(일),LG,win
117,08.06(화),NC,-
118,08.07(수),NC,lose
119,08.08(목),롯데,lose
120,08.09(금),롯데,lose
121,08.10(토),KIA,lose
122,08.11(일),KIA,win
123,08.13(화),SK,lose
124,08.14(수),SK,-
125,08.15(목),KT,-
126,08.16(금),KT,lose
127,08.17(토),LG,win
128,08.18(일),LG,lose
129,08.20(화),한화,win
130,08.21(수),한화,-
131,08.22(목),두산,lose
132,08.23(금),두산,lose
133,08.24(토),키움,win
134,08.25(일),키움,lose
135,08.27(화),KIA,win
136,08.28(수),KIA,lose
137,08.29(목),SK,win
138,08.30(금),SK,lose
139,08.31(토),두산,lose
140,09.01(일),두산,lose
141,09.03(화),롯데,win
142,09.04(수),롯데,win
143,09.05(목),키움,win
144,09.06(금),키움,lose
145,09.07(토),NC,lose
146,09.08(일),NC,win
147,09.10(화),KT,win
148,09.11(수),KT,win
149,09.12(목),한화,-
150,09.13(금),한화,lose
151,09.14(토),NC,lose
152,09.15(일),NC,lose
153,09.16(월),한화,lose
154,09.18(수),LG,lose
155,09.19(목),KIA,win
156,09.20(금),한화,lose
157,09.21(토),KT,win
158,09.22(일),KT,-
159,09.24(화),LG,win
160,09.25(수),SK,lose
161,09.26(목),두산,lose
162,09.27(금),SK,lose
163,09.28(토),SK,win
164,09.29(일),KT,lose
