,날짜,상대팀,결과
0,04.02(토),KIA,win
1,04.03(일),KIA,lose
2,04.05(화),롯데,lose
3,04.06(수),롯데,win
4,04.07(목),롯데,-
5,04.08(금),SK,lose
6,04.09(토),SK,lose
7,04.10(일),SK,win
8,04.12(화),LG,win
9,04.13(수),LG,lose
10,04.14(목),LG,win
11,04.15(금),두산,win
12,04.16(토),두산,lose
13,04.17(일),두산,win
14,04.19(화),KIA,win
15,04.20(수),KIA,lose
16,04.21(목),KIA,win
17,04.22(금),넥센,lose
18,04.23(토),넥센,win
19,04.24(일),넥센,lose
20,04.26(화),두산,-
21,04.27(수),두산,win
22,04.28(목),두산,win
23,04.29(금),한화,lose
24,04.30(토),한화,win
25,04.02(토),KIA,win
26,04.03(일),KIA,lose
27,04.05(화),롯데,lose
28,04.06(수),롯데,win
29,04.07(목),롯데,-
30,04.08(금),SK,lose
31,04.09(토),SK,lose
32,04.10(일),SK,win
33,04.12(화),LG,win
34,04.13(수),LG,lose
35,04.14(목),LG,win
36,04.15(금),두산,win
37,04.16(토),두산,lose
38,04.17(일),두산,win
39,04.19(화),KIA,win
40,04.20(수),KIA,lose
41,04.21(목),KIA,win
42,04.22(금),넥센,lose
43,04.23(토),넥센,win
44,04.24(일),넥센,lose
45,04.26(화),두산,-
46,04.27(수),두산,win
47,04.28(목),두산,win
48,04.29(금),한화,lose
49,04.30(토),한화,win
50,05.01(일),한화,lose
51,05.03(화),롯데,lose
52,05.04(수),롯데,lose
53,05.05(목),롯데,win
54,05.06(금),LG,lose
55,05.07(토),LG,win
56,05.08(일),LG,lose
57,05.10(화),SK,win
58,05.11(수),SK,-
59,05.12(목),SK,lose
60,05.13(금),한화,lose
61,05.14(토),한화,win
62,05.15(일),한화,lose
63,05.17(화),넥센,win
64,05.18(수),넥센,win
65,05.19(목),넥센,win
66,05.20(금),두산,win
67,05.21(토),두산,draw
68,05.22(일),두산,win
69,05.24(화),롯데,lose
70,05.25(수),롯데,draw
71,05.26(목),롯데,-
72,05.27(금),SK,win
73,05.28(토),SK,win
74,05.29(일),SK,lose
75,05.31(화),한화,win
76,06.01(수),한화,lose
77,06.02(목),한화,lose
78,06.03(금),두산,lose
79,06.04(토),두산,win
80,06.05(일),두산,win
81,06.07(화),롯데,win
82,06.08(수),롯데,win
83,06.09(목),롯데,lose
84,06.10(금),넥센,win
85,06.11(토),넥센,win
86,06.12(일),넥센,win
87,06.14(화),LG,win
88,06.15(수),LG,win
89,06.16(목),LG,win
90,06.17(금),KIA,lose
91,06.18(토),KIA,lose
92,06.19(일),KIA,win
93,06.21(화),한화,win
94,06.22(수),한화,win
95,06.23(목),한화,win
96,06.24(금),넥센,lose
97,06.25(토),넥센,-
98,06.26(일),넥센,-
99,06.28(화),LG,win
100,06.29(수),LG,-
101,06.30(목),LG,-
102,07.01(금),롯데,win
103,07.02(토),롯데,lose
104,07.03(일),롯데,-
105,07.05(화),SK,win
106,07.06(수),SK,win
107,07.07(목),SK,-
108,07.08(금),두산,lose
109,07.09(토),두산,-
110,07.10(일),두산,-
111,07.12(화),넥센,win
112,07.13(수),넥센,-
113,07.14(목),넥센,-
114,07.15(금),KIA,lose
115,07.16(토),KIA,win
116,07.17(일),KIA,lose
117,07.19(화),SK,win
118,07.20(수),SK,lose
119,07.21(목),SK,lose
120,07.26(화),KIA,win
121,07.27(수),KIA,win
122,07.28(목),KIA,win
123,07.29(금),LG,win
124,07.30(토),LG,lose
125,07.31(일),LG,-
126,08.02(화),넥센,win
127,08.03(수),넥센,win
128,08.04(목),넥센,win
129,08.05(금),롯데,win
130,08.06(토),롯데,lose
131,08.07(일),롯데,win
132,08.09(화),한화,-
133,08.10(수),한화,win
134,08.11(목),한화,lose
135,08.12(금),KIA,win
136,08.13(토),KIA,lose
137,08.14(일),KIA,win
138,08.16(화),SK,-
139,08.17(수),SK,win
140,08.18(목),SK,win
141,08.19(금),LG,-
142,08.20(토),LG,lose
143,08.21(일),LG,lose
144,08.23(화),한화,lose
145,08.24(수),한화,lose
146,08.25(목),한화,win
147,08.26(금),두산,win
148,08.27(토),두산,win
149,08.28(일),두산,lose
150,08.30(화),롯데,win
151,08.31(수),롯데,lose
152,09.06(화),한화,lose
153,09.07(수),한화,win
154,09.08(목),KIA,win
155,09.10(토),LG,win
156,09.11(일),LG,win
157,09.13(화),롯데,lose
158,09.14(수),롯데,win
159,09.17(토),넥센,win
160,09.18(일),넥센,lose
161,09.20(화),두산,win
162,09.21(수),두산,lose
163,09.22(목),KIA,win
164,09.23(금),넥센,win
165,09.24(토),넥센,win
166,09.25(일),넥센,win
167,09.27(화),두산,win
168,09.28(수),두산,win
169,09.29(목),SK,draw
170,09.30(금),SK,lose
171,10.01(토),SK,win
172,10.03(월),SK,lose
173,10.04(화),LG,lose
174,10.05(수),LG,draw
175,10.06(목),LG,win
