,날짜,상대팀,결과
0,04.08(토),롯데,lose
1,04.09(일),롯데,win
2,04.11(화),현대,win
3,04.12(수),현대,win
4,04.13(목),현대,lose
5,04.14(금),두산,win
6,04.15(토),두산,draw
7,04.16(일),두산,lose
8,04.18(화),한화,lose
9,04.20(목),한화,win
10,04.21(금),SK,lose
11,04.22(토),SK,win
12,04.25(화),LG,lose
13,04.26(수),LG,win
14,04.27(목),LG,win
15,04.28(금),KIA,win
16,04.29(토),KIA,lose
17,04.30(일),KIA,win
18,04.08(토),롯데,lose
19,04.09(일),롯데,win
20,04.11(화),현대,win
21,04.12(수),현대,win
22,04.13(목),현대,lose
23,04.14(금),두산,win
24,04.15(토),두산,draw
25,04.16(일),두산,lose
26,04.18(화),한화,lose
27,04.20(목),한화,win
28,04.21(금),SK,lose
29,04.22(토),SK,win
30,04.25(화),LG,lose
31,04.26(수),LG,win
32,04.27(목),LG,win
33,04.28(금),KIA,win
34,04.29(토),KIA,lose
35,04.30(일),KIA,win
36,05.02(화),SK,win
37,05.03(수),SK,win
38,05.04(목),SK,win
39,05.05(금),현대,lose
40,05.07(일),현대,lose
41,05.09(화),LG,lose
42,05.10(수),LG,win
43,05.11(목),LG,win
44,05.12(금),KIA,lose
45,05.13(토),KIA,win
46,05.14(일),KIA,lose
47,05.16(화),두산,win
48,05.17(수),두산,lose
49,05.18(목),두산,win
50,05.20(토),롯데,lose
51,05.21(일),롯데,win
52,05.23(화),한화,win
53,05.24(수),한화,lose
54,05.25(목),한화,win
55,05.26(금),두산,win
56,05.28(일),두산,win
57,05.30(화),롯데,win
58,05.31(수),롯데,lose
59,06.01(목),롯데,win
60,06.02(금),KIA,win
61,06.03(토),KIA,draw
62,06.04(일),KIA,lose
63,06.06(화),LG,win
64,06.07(수),LG,lose
65,06.08(목),LG,lose
66,06.09(금),현대,win
67,06.10(토),현대,win
68,06.11(일),현대,lose
69,06.13(화),한화,win
70,06.15(목),한화,win
71,06.16(금),SK,win
72,06.17(토),SK,win
73,06.18(일),SK,win
74,06.20(화),롯데,lose
75,06.21(수),롯데,win
76,06.23(금),LG,win
77,06.24(토),LG,win
78,06.27(화),두산,win
79,06.28(수),두산,lose
80,07.02(일),KIA,draw
81,07.05(수),SK,win
82,07.06(목),SK,win
83,07.07(금),한화,lose
84,07.11(화),SK,win
85,07.13(목),SK,win
86,07.14(금),롯데,win
87,07.15(토),롯데,win
88,07.16(일),롯데,lose
89,07.18(화),삼성,lose
90,07.20(목),삼성,lose
91,07.25(화),KIA,lose
92,07.27(목),KIA,lose
93,07.30(일),현대,lose
94,08.01(화),SK,lose
95,08.02(수),SK,lose
96,08.03(목),SK,win
97,08.04(금),한화,win
98,08.05(토),한화,win
99,08.06(일),한화,lose
100,08.08(화),LG,win
101,08.09(수),LG,win
102,08.10(목),LG,win
103,08.11(금),현대,lose
104,08.12(토),현대,win
105,08.13(일),현대,win
106,08.15(화),KIA,lose
107,08.16(수),KIA,win
108,08.17(목),KIA,win
109,08.18(금),두산,win
110,08.19(토),두산,lose
111,08.20(일),두산,lose
112,08.22(화),롯데,win
113,08.23(수),롯데,win
114,08.26(토),한화,lose
115,08.27(일),한화,win
116,08.29(화),현대,lose
117,08.30(수),현대,lose
118,08.31(목),현대,lose
119,09.01(금),LG,win
120,09.02(토),LG,win
121,09.03(일),LG,lose
122,09.05(화),롯데,lose
123,09.06(수),롯데,lose
124,-,롯데,win
125,09.07(목),KIA,lose
126,09.08(금),KIA,lose
127,09.09(토),두산,lose
128,09.10(일),두산,win
129,09.12(화),KIA,win
130,09.13(수),한화,lose
131,09.18(월),SK,win
132,09.19(화),한화,win
133,09.20(수),한화,win
134,-,한화,lose
135,09.21(목),한화,win
136,09.22(금),현대,lose
137,09.23(토),SK,lose
138,09.24(일),SK,lose
139,09.26(화),롯데,win
140,09.28(목),LG,win
141,09.30(토),두산,lose
142,10.01(일),현대,win
143,10.02(월),현대,win
