,날짜,상대팀,결과
0,04.01(토),NC,lose
1,04.02(일),NC,win
2,04.04(화),한화,win
3,04.05(수),한화,-
4,04.06(목),한화,lose
5,04.07(금),LG,lose
6,04.08(토),LG,lose
7,04.09(일),LG,lose
8,04.11(화),SSG,lose
9,04.12(수),SSG,lose
10,04.13(목),SSG,win
11,04.14(금),롯데,win
12,04.15(토),롯데,lose
13,04.16(일),롯데,win
14,04.18(화),키움,win
15,04.19(수),키움,win
16,04.20(목),키움,lose
17,04.21(금),KIA,lose
18,04.22(토),KIA,lose
19,04.23(일),KIA,lose
20,04.25(화),두산,-
21,04.26(수),두산,win
22,04.27(목),두산,win
23,04.28(금),KT,win
24,04.29(토),KT,win
25,04.30(일),KT,win
26,04.01(토),NC,lose
27,04.02(일),NC,win
28,04.04(화),한화,win
29,04.05(수),한화,-
30,04.06(목),한화,lose
31,04.07(금),LG,lose
32,04.08(토),LG,lose
33,04.09(일),LG,lose
34,04.11(화),SSG,lose
35,04.12(수),SSG,lose
36,04.13(목),SSG,win
37,04.14(금),롯데,win
38,04.15(토),롯데,lose
39,04.16(일),롯데,win
40,04.18(화),키움,win
41,04.19(수),키움,win
42,04.20(목),키움,lose
43,04.21(금),KIA,lose
44,04.22(토),KIA,lose
45,04.23(일),KIA,lose
46,04.25(화),두산,-
47,04.26(수),두산,win
48,04.27(목),두산,win
49,04.28(금),KT,win
50,04.29(토),KT,win
51,04.30(일),KT,win
52,05.02(화),키움,lose
53,05.03(수),키움,lose
54,05.04(목),키움,win
55,05.05(금),롯데,-
56,05.06(토),롯데,-
57,05.07(일),롯데,-
58,05.09(화),한화,win
59,05.10(수),한화,lose
60,05.11(목),한화,lose
61,05.12(금),LG,win
62,05.13(토),LG,lose
63,05.14(일),LG,lose
64,05.16(화),KIA,lose
65,05.17(수),KIA,lose
66,05.18(목),KIA,-
67,05.19(금),NC,win
68,05.20(토),NC,lose
69,05.21(일),NC,win
70,05.23(화),두산,lose
71,05.24(수),두산,win
72,05.25(목),두산,lose
73,05.26(금),KT,lose
74,05.27(토),KT,lose
75,05.28(일),KT,win
76,05.30(화),SSG,lose
77,05.31(수),SSG,win
78,06.01(목),SSG,lose
79,06.02(금),한화,win
80,06.03(토),한화,win
81,06.04(일),한화,lose
82,06.06(화),NC,win
83,06.07(수),NC,lose
84,06.08(목),NC,lose
85,06.09(금),롯데,lose
86,06.10(토),롯데,win
87,06.11(일),롯데,win
88,06.13(화),LG,lose
89,06.14(수),LG,lose
90,06.15(목),LG,lose
91,06.16(금),KT,lose
92,06.17(토),KT,lose
93,06.18(일),KT,win
94,06.20(화),키움,lose
95,06.21(수),키움,lose
96,06.22(목),키움,lose
97,06.23(금),SSG,lose
98,06.24(토),SSG,lose
99,06.25(일),SSG,win
100,06.27(화),롯데,lose
101,06.28(수),롯데,lose
102,06.29(목),롯데,-
103,06.30(금),한화,lose
104,07.01(토),한화,lose
105,07.02(일),한화,win
106,07.04(화),두산,lose
107,07.05(수),두산,lose
108,07.06(목),두산,lose
109,07.07(금),NC,-
110,07.08(토),NC,win
111,07.09(일),NC,win
112,07.11(화),KIA,-
113,07.12(수),KIA,lose
114,07.13(목),KIA,win
115,07.21(금),KT,lose
116,07.22(토),KT,win
117,07.23(일),KT,lose
118,07.25(화),SSG,win
119,07.26(수),SSG,lose
120,07.27(목),SSG,win
121,07.28(금),키움,draw
122,07.29(토),키움,win
123,07.30(일),키움,win
124,08.01(화),KIA,lose
125,08.02(수),KIA,win
126,08.03(목),KIA,lose
127,08.04(금),LG,win
128,08.05(토),LG,win
129,08.06(일),LG,lose
130,08.08(화),두산,lose
131,08.09(수),두산,win
132,08.10(목),두산,-
133,08.11(금),SSG,win
134,08.12(토),SSG,lose
135,08.13(일),SSG,lose
136,08.15(화),LG,win
137,08.16(수),LG,lose
138,08.17(목),LG,win
139,08.18(금),KIA,win
140,08.19(토),KIA,lose
141,08.20(일),KIA,win
142,08.22(화),한화,win
143,08.23(수),한화,-
144,08.24(목),한화,-
145,08.25(금),키움,lose
146,08.26(토),키움,win
147,08.27(일),키움,win
148,08.29(화),KT,-
149,08.30(수),KT,-
150,08.31(목),KT,lose
151,09.01(금),NC,lose
152,09.02(토),NC,lose
153,09.03(일),NC,win
154,09.05(화),롯데,lose
155,09.06(수),롯데,win
156,09.07(목),롯데,lose
157,09.08(금),두산,lose
158,09.09(토),두산,win
159,-,두산,lose
160,09.10(일),두산,lose
161,09.12(화),KIA,win
162,09.14(목),KT,win
163,09.15(금),NC,lose
164,09.16(토),NC,-
165,09.17(일),롯데,lose
166,09.19(화),KT,lose
167,09.20(수),SSG,-
168,09.21(목),두산,lose
169,09.22(금),두산,lose
170,09.26(화),한화,-
171,09.27(수),한화,win
172,-,한화,lose
173,09.28(목),LG,win
174,09.30(토),NC,win
175,10.01(일),롯데,lose
176,10.02(월),롯데,win
177,-,롯데,win
178,10.03(화),롯데,lose
179,10.04(수),한화,lose
180,10.05(목),한화,win
181,10.06(금),KT,win
182,10.08(일),KIA,lose
183,10.09(월),KIA,lose
184,10.10(화),키움,lose
185,10.14(토),SSG,win
186,10.15(일),NC,lose
