,날짜,상대팀,결과
0,04.02(토),KT,lose
1,04.03(일),KT,win
2,04.05(화),두산,win
3,04.06(수),두산,win
4,04.07(목),두산,lose
5,04.08(금),키움,lose
6,04.09(토),키움,lose
7,04.10(일),키움,lose
8,04.12(화),한화,win
9,04.13(수),한화,win
10,04.14(목),한화,win
11,04.15(금),SSG,lose
12,04.16(토),SSG,lose
13,04.17(일),SSG,lose
14,04.19(화),NC,lose
15,04.20(수),NC,lose
16,04.21(목),NC,win
17,04.22(금),롯데,lose
18,04.23(토),롯데,lose
19,04.24(일),롯데,lose
20,04.26(화),LG,win
21,04.27(수),LG,lose
22,04.28(목),LG,lose
23,04.29(금),KIA,win
24,04.30(토),KIA,win
25,04.02(토),KT,lose
26,04.03(일),KT,win
27,04.05(화),두산,win
28,04.06(수),두산,win
29,04.07(목),두산,lose
30,04.08(금),키움,lose
31,04.09(토),키움,lose
32,04.10(일),키움,lose
33,04.12(화),한화,win
34,04.13(수),한화,win
35,04.14(목),한화,win
36,04.15(금),SSG,lose
37,04.16(토),SSG,lose
38,04.17(일),SSG,lose
39,04.19(화),NC,lose
40,04.20(수),NC,lose
41,04.21(목),NC,win
42,04.22(금),롯데,lose
43,04.23(토),롯데,lose
44,04.24(일),롯데,lose
45,04.26(화),LG,win
46,04.27(수),LG,lose
47,04.28(목),LG,lose
48,04.29(금),KIA,win
49,04.30(토),KIA,win
50,05.01(일),KIA,win
51,05.03(화),NC,lose
52,05.04(수),NC,win
53,05.05(목),NC,win
54,05.06(금),롯데,win
55,05.07(토),롯데,win
56,05.08(일),롯데,win
57,05.10(화),SSG,lose
58,05.11(수),SSG,win
59,05.12(목),SSG,win
60,05.13(금),두산,-
61,05.14(토),두산,win
62,05.15(일),두산,win
63,05.17(화),한화,lose
64,05.18(수),한화,win
65,05.19(목),한화,win
66,05.20(금),KT,lose
67,05.21(토),KT,lose
68,05.22(일),KT,win
69,05.24(화),KIA,lose
70,05.25(수),KIA,lose
71,05.26(목),KIA,lose
72,05.27(금),LG,lose
73,05.28(토),LG,lose
74,05.29(일),LG,win
75,05.31(화),키움,lose
76,06.01(수),키움,win
77,06.02(목),키움,lose
78,06.03(금),두산,win
79,06.04(토),두산,lose
80,06.05(일),두산,-
81,06.07(화),롯데,win
82,06.08(수),롯데,win
83,06.09(목),롯데,lose
84,06.10(금),NC,lose
85,06.11(토),NC,lose
86,06.12(일),NC,win
87,06.14(화),LG,lose
88,06.15(수),LG,win
89,06.16(목),LG,lose
90,06.17(금),KIA,lose
91,06.18(토),KIA,win
92,06.19(일),KIA,win
93,06.21(화),키움,lose
94,06.22(수),키움,lose
95,06.23(목),키움,lose
96,06.24(금),한화,lose
97,06.25(토),한화,win
98,06.26(일),한화,win
99,06.28(화),KT,lose
100,06.29(수),KT,win
101,06.30(목),KT,lose
102,07.01(금),NC,-
103,07.02(토),NC,lose
104,07.03(일),NC,lose
105,07.05(화),LG,lose
106,07.06(수),LG,lose
107,07.07(목),LG,lose
108,07.08(금),SSG,lose
109,07.09(토),SSG,lose
110,07.10(일),SSG,lose
111,07.12(화),KT,lose
112,07.13(수),KT,-
113,07.14(목),KT,lose
114,07.22(금),키움,lose
115,07.23(토),키움,lose
116,07.24(일),키움,win
117,07.26(화),한화,lose
118,07.27(수),한화,win
119,07.28(목),한화,draw
120,07.29(금),롯데,win
121,07.30(토),롯데,lose
122,07.31(일),롯데,draw
123,08.02(화),두산,-
124,08.03(수),두산,lose
125,08.04(목),두산,win
126,08.05(금),SSG,win
127,08.06(토),SSG,lose
128,08.07(일),SSG,lose
129,08.10(수),KIA,win
130,08.11(목),KIA,-
131,08.12(금),KIA,win
132,08.13(토),KT,lose
133,08.14(일),KT,lose
134,08.16(화),LG,lose
135,08.17(수),LG,lose
136,08.18(목),한화,win
137,08.19(금),한화,win
138,08.20(토),NC,-
139,08.21(일),NC,lose
140,08.23(화),SSG,lose
141,08.24(수),SSG,lose
142,08.25(목),롯데,win
143,08.26(금),롯데,lose
144,08.27(토),한화,win
145,08.28(일),한화,win
146,08.30(화),SSG,-
147,08.31(수),SSG,win
148,09.01(목),KIA,win
149,09.02(금),KIA,lose
150,09.03(토),두산,win
151,09.04(일),두산,-
152,09.06(화),키움,win
153,09.07(수),키움,win
154,09.08(목),롯데,lose
155,09.09(금),롯데,win
156,09.10(토),LG,lose
157,09.11(일),LG,win
158,09.13(화),NC,win
159,09.14(수),NC,lose
160,09.15(목),두산,win
161,09.16(금),두산,lose
162,09.17(토),KIA,win
163,09.18(일),KIA,win
164,09.20(화),키움,win
165,09.21(수),키움,lose
166,09.22(목),KT,lose
167,09.23(금),KT,win
168,09.25(일),KIA,lose
169,09.28(수),NC,lose
170,09.29(목),NC,win
171,09.30(금),두산,win
172,10.01(토),두산,win
173,10.04(화),KT,lose
174,10.05(수),KT,win
175,10.06(목),두산,lose
176,10.07(금),두산,win
177,10.08(토),SSG,win
