,날짜,상대팀,결과
0,03.29(토),KIA,win
1,03.30(일),KIA,win
2,03.29(토),KIA,win
3,03.30(일),KIA,win
4,04.01(화),LG,win
5,04.02(수),LG,win
6,04.03(목),LG,win
7,04.04(금),우리,lose
8,04.05(토),우리,lose
9,04.06(일),우리,win
10,04.08(화),롯데,lose
11,04.10(목),롯데,win
12,04.11(금),한화,win
13,04.12(토),한화,lose
14,04.13(일),한화,win
15,04.15(화),SK,lose
16,04.16(수),SK,lose
17,04.17(목),SK,lose
18,04.18(금),LG,win
19,04.19(토),LG,lose
20,04.20(일),LG,lose
21,04.22(화),두산,lose
22,04.23(수),두산,lose
23,04.24(목),두산,win
24,04.25(금),롯데,lose
25,04.26(토),롯데,win
26,04.27(일),롯데,win
27,04.29(화),우리,win
28,04.30(수),우리,lose
29,05.01(목),우리,lose
30,05.03(토),한화,win
31,05.04(일),한화,win
32,05.05(월),한화,lose
33,05.06(화),KIA,win
34,05.07(수),KIA,lose
35,05.08(목),KIA,lose
36,05.09(금),SK,lose
37,05.10(토),SK,win
38,05.11(일),SK,lose
39,05.13(화),롯데,lose
40,05.14(수),롯데,win
41,05.15(목),롯데,win
42,05.16(금),두산,win
43,05.17(토),두산,lose
44,05.20(화),LG,lose
45,05.21(수),LG,win
46,05.22(목),LG,lose
47,05.23(금),한화,win
48,05.24(토),한화,win
49,05.25(일),한화,lose
50,05.27(화),우리,win
51,05.28(수),우리,win
52,05.29(목),우리,win
53,05.30(금),SK,win
54,05.31(토),SK,win
55,06.01(일),SK,lose
56,06.03(화),LG,lose
57,06.05(목),LG,win
58,06.06(금),KIA,lose
59,06.07(토),KIA,win
60,06.08(일),KIA,lose
61,06.10(화),한화,lose
62,06.11(수),한화,lose
63,06.12(목),한화,lose
64,06.13(금),두산,win
65,06.14(토),두산,lose
66,06.15(일),두산,win
67,06.17(화),우리,lose
68,06.19(목),우리,lose
69,06.20(금),SK,lose
70,06.21(토),SK,lose
71,06.22(일),SK,lose
72,06.24(화),LG,win
73,06.25(수),LG,win
74,06.26(목),LG,lose
75,06.27(금),두산,lose
76,06.28(토),두산,win
77,06.29(일),두산,win
78,07.01(화),롯데,win
79,07.03(목),롯데,lose
80,07.04(금),KIA,lose
81,07.05(토),KIA,lose
82,07.06(일),KIA,lose
83,07.08(화),SK,win
84,07.09(수),SK,lose
85,07.10(목),SK,win
86,07.11(금),LG,lose
87,07.12(토),LG,lose
88,07.13(일),LG,lose
89,07.15(화),우리,lose
90,07.16(수),우리,win
91,07.17(목),우리,win
92,07.18(금),한화,win
93,07.19(토),한화,win
94,07.20(일),한화,win
95,07.22(화),KIA,lose
96,07.23(수),KIA,win
97,07.24(목),KIA,win
98,07.27(일),두산,win
99,07.29(화),SK,win
100,07.31(목),SK,win
101,08.26(화),우리,win
102,08.27(수),우리,win
103,08.28(목),우리,win
104,08.29(금),롯데,lose
105,08.30(토),롯데,lose
106,08.31(일),롯데,lose
107,09.02(화),KIA,win
108,09.03(수),KIA,lose
109,09.04(목),KIA,win
110,09.05(금),한화,lose
111,09.06(토),한화,win
112,09.07(일),한화,win
113,09.09(화),두산,win
114,09.10(수),두산,lose
115,09.11(목),두산,win
116,09.12(금),롯데,win
117,09.13(토),롯데,lose
118,09.14(일),롯데,lose
119,09.18(목),KIA,win
120,09.21(일),LG,win
121,09.24(수),롯데,win
122,09.25(목),롯데,lose
123,09.26(금),두산,lose
124,09.27(토),두산,lose
125,09.28(일),두산,win
126,10.01(수),우리,lose
127,10.04(토),SK,win
