,날짜,상대팀,결과
0,03.24(토),두산,win
1,03.25(일),두산,lose
2,03.27(화),KIA,lose
3,03.28(수),KIA,win
4,03.29(목),KIA,lose
5,03.30(금),넥센,lose
6,03.31(토),넥센,lose
7,03.24(토),두산,win
8,03.25(일),두산,lose
9,03.27(화),KIA,lose
10,03.28(수),KIA,win
11,03.29(목),KIA,lose
12,03.30(금),넥센,lose
13,03.31(토),넥센,lose
14,04.01(일),넥센,win
15,04.03(화),NC,lose
16,04.04(수),NC,lose
17,04.05(목),NC,win
18,04.06(금),SK,-
19,04.07(토),SK,lose
20,04.08(일),SK,win
21,04.10(화),두산,lose
22,04.11(수),두산,lose
23,04.12(목),두산,lose
24,04.13(금),한화,win
25,04.14(토),한화,lose
26,04.15(일),한화,lose
27,04.17(화),롯데,win
28,04.18(수),롯데,lose
29,04.19(목),롯데,win
30,04.20(금),KT,lose
31,04.21(토),KT,win
32,04.22(일),KT,lose
33,04.24(화),NC,win
34,04.25(수),NC,lose
35,04.26(목),NC,lose
36,04.27(금),LG,lose
37,04.28(토),LG,lose
38,04.29(일),LG,win
39,05.01(화),SK,lose
40,05.02(수),SK,lose
41,05.03(목),SK,win
42,05.04(금),한화,lose
43,05.05(토),한화,win
44,05.06(일),한화,-
45,05.08(화),KT,win
46,05.09(수),KT,win
47,05.10(목),KT,lose
48,05.11(금),KIA,win
49,05.12(토),KIA,-
50,05.13(일),KIA,lose
51,05.15(화),LG,win
52,05.16(수),LG,lose
53,05.17(목),LG,lose
54,05.18(금),넥센,win
55,05.19(토),넥센,lose
56,05.20(일),넥센,win
57,05.22(화),롯데,win
58,05.23(수),롯데,win
59,05.24(목),롯데,win
60,05.25(금),두산,win
61,05.26(토),두산,lose
62,05.27(일),두산,lose
63,05.29(화),KT,lose
64,05.30(수),KT,win
65,05.31(목),KT,win
66,06.01(금),NC,win
67,06.02(토),NC,win
68,06.03(일),NC,win
69,06.05(화),SK,lose
70,06.06(수),SK,lose
71,06.07(목),SK,win
72,06.08(금),LG,lose
73,06.09(토),LG,lose
74,06.10(일),LG,win
75,06.12(화),롯데,win
76,06.13(수),롯데,lose
77,06.14(목),롯데,win
78,06.15(금),넥센,lose
79,06.16(토),넥센,lose
80,06.17(일),넥센,lose
81,06.19(화),SK,draw
82,06.20(수),SK,win
83,06.21(목),SK,lose
84,06.22(금),두산,win
85,06.23(토),두산,lose
86,06.24(일),두산,lose
87,06.26(화),한화,win
88,06.27(수),한화,lose
89,06.28(목),한화,lose
90,06.29(금),넥센,lose
91,06.30(토),넥센,-
92,07.01(일),넥센,lose
93,07.03(화),KT,-
94,07.04(수),KT,lose
95,07.05(목),KT,draw
96,07.06(금),두산,lose
97,07.07(토),두산,lose
98,07.08(일),두산,win
99,07.10(화),롯데,win
100,07.11(수),롯데,win
101,07.12(목),롯데,win
102,07.17(화),KIA,lose
103,07.18(수),KIA,win
104,07.19(목),KIA,win
105,07.20(금),한화,lose
106,07.21(토),한화,win
107,07.22(일),한화,win
108,07.24(화),LG,win
109,07.25(수),LG,win
110,07.26(목),LG,lose
111,07.27(금),KIA,win
112,07.28(토),KIA,win
113,07.29(일),KIA,win
114,07.31(화),NC,draw
115,08.01(수),NC,lose
116,08.02(목),NC,win
117,08.04(토),롯데,lose
118,08.05(일),롯데,win
119,08.07(화),SK,win
120,08.08(수),SK,lose
121,08.09(목),LG,win
122,08.10(금),LG,lose
123,08.11(토),NC,lose
124,08.12(일),NC,win
125,08.14(화),넥센,lose
126,08.15(수),넥센,lose
127,08.16(목),한화,win
128,09.04(화),NC,win
129,09.05(수),NC,win
130,09.06(목),두산,lose
131,09.07(금),두산,lose
132,09.08(토),KIA,lose
133,09.09(일),KIA,win
134,09.11(화),한화,lose
135,09.12(수),한화,lose
136,09.13(목),LG,lose
137,09.14(금),LG,win
138,09.15(토),KT,win
139,09.16(일),KT,lose
140,09.18(화),KIA,lose
141,09.19(수),KIA,win
142,09.20(목),넥센,lose
143,09.21(금),넥센,win
144,09.22(토),롯데,lose
145,09.23(일),롯데,win
146,09.25(화),한화,win
147,09.26(수),한화,lose
148,09.27(목),KT,win
149,09.28(금),KT,draw
150,09.29(토),SK,win
151,09.30(일),SK,lose
152,10.03(수),KIA,win
153,10.06(토),KT,lose
154,10.09(화),SK,win
155,10.13(토),넥센,win
