,날짜,상대팀,결과
0,04.05(금),LG,win
1,04.06(토),LG,lose
2,04.07(일),LG,win
3,04.09(화),롯데,lose
4,04.10(수),롯데,lose
5,04.11(목),롯데,win
6,04.12(금),한화,win
7,04.13(토),한화,lose
8,04.14(일),한화,lose
9,04.16(화),두산,win
10,04.17(수),두산,win
11,04.18(목),두산,win
12,04.19(금),SK,lose
13,04.20(토),SK,win
14,04.21(일),SK,lose
15,04.24(수),현대,win
16,-,현대,lose
17,04.25(목),현대,win
18,04.26(금),KIA,lose
19,04.27(토),KIA,win
20,04.28(일),KIA,win
21,04.05(금),LG,win
22,04.06(토),LG,lose
23,04.07(일),LG,win
24,04.09(화),롯데,lose
25,04.10(수),롯데,lose
26,04.11(목),롯데,win
27,04.12(금),한화,win
28,04.13(토),한화,lose
29,04.14(일),한화,lose
30,04.16(화),두산,win
31,04.17(수),두산,win
32,04.18(목),두산,win
33,04.19(금),SK,lose
34,04.20(토),SK,win
35,04.21(일),SK,lose
36,04.24(수),현대,win
37,-,현대,lose
38,04.25(목),현대,win
39,04.26(금),KIA,lose
40,04.27(토),KIA,win
41,04.28(일),KIA,win
42,05.01(수),두산,lose
43,-,두산,lose
44,05.02(목),두산,win
45,05.03(금),현대,win
46,05.04(토),현대,win
47,05.05(일),현대,win
48,05.07(화),SK,win
49,05.08(수),SK,win
50,05.09(목),SK,lose
51,05.10(금),LG,lose
52,05.11(토),LG,win
53,05.12(일),LG,win
54,05.14(화),롯데,lose
55,05.16(목),롯데,win
56,-,롯데,win
57,05.19(일),한화,lose
58,-,한화,win
59,05.21(화),KIA,win
60,05.22(수),KIA,win
61,05.23(목),KIA,win
62,05.24(금),LG,win
63,05.25(토),LG,win
64,05.26(일),LG,lose
65,05.28(화),SK,lose
66,05.29(수),SK,lose
67,05.30(목),SK,win
68,06.01(토),현대,win
69,06.02(일),현대,lose
70,06.05(수),한화,win
71,06.06(목),한화,win
72,06.07(금),KIA,win
73,06.08(토),KIA,lose
74,06.09(일),KIA,lose
75,06.11(화),롯데,win
76,06.12(수),롯데,win
77,06.13(목),롯데,win
78,06.15(토),SK,win
79,06.16(일),SK,lose
80,06.19(수),두산,lose
81,06.20(목),두산,lose
82,06.21(금),롯데,win
83,06.23(일),롯데,win
84,06.26(수),KIA,lose
85,06.27(목),KIA,win
86,06.28(금),LG,lose
87,06.30(일),LG,lose
88,07.02(화),두산,lose
89,07.03(수),두산,lose
90,07.04(목),두산,lose
91,07.07(일),한화,lose
92,-,한화,draw
93,07.09(화),현대,lose
94,07.10(수),현대,win
95,07.11(목),현대,lose
96,07.13(토),SK,win
97,07.14(일),SK,win
98,07.20(토),두산,win
99,07.21(일),두산,win
100,07.23(화),현대,win
101,07.24(수),현대,lose
102,07.25(목),현대,win
103,07.26(금),두산,win
104,07.27(토),두산,win
105,07.28(일),두산,win
106,07.30(화),한화,lose
107,07.31(수),한화,win
108,08.01(목),현대,draw
109,08.02(금),현대,lose
110,08.03(토),LG,lose
111,08.04(일),LG,draw
112,08.09(금),두산,win
113,08.11(일),두산,win
114,08.18(일),한화,win
115,08.20(화),KIA,lose
116,08.21(수),KIA,win
117,08.22(목),롯데,lose
118,08.23(금),롯데,win
119,08.24(토),한화,win
120,08.25(일),한화,win
121,08.27(화),LG,draw
122,08.28(수),LG,lose
123,08.29(목),LG,win
124,09.02(월),KIA,lose
125,09.03(화),SK,lose
126,09.04(수),SK,win
127,09.05(목),SK,win
128,09.07(토),롯데,win
129,09.08(일),롯데,lose
130,09.10(화),LG,win
131,09.12(목),LG,win
132,09.13(금),LG,win
133,09.14(토),한화,win
134,09.17(화),SK,win
135,09.18(수),SK,win
136,09.19(목),SK,win
137,09.24(화),현대,win
138,09.25(수),롯데,win
139,09.26(목),롯데,win
140,09.27(금),한화,win
141,09.28(토),한화,win
142,-,한화,win
143,10.11(금),한화,win
144,10.12(토),현대,win
145,10.13(일),현대,lose
146,10.14(월),KIA,lose
147,-,KIA,win
148,10.15(화),KIA,win
149,10.16(수),두산,lose
150,10.17(목),롯데,win
151,10.18(금),롯데,lose
152,10.19(토),KIA,win
153,10.20(일),KIA,win
