,날짜,상대팀,결과
0,04.05(목),한화,win
1,04.06(금),한화,win
2,04.07(토),롯데,lose
3,04.08(일),롯데,win
4,04.10(화),SK,win
5,04.12(목),SK,win
6,-,SK,lose
7,04.13(금),LG,win
8,04.14(토),LG,win
9,04.15(일),LG,win
10,04.17(화),두산,lose
11,04.18(수),두산,lose
12,04.19(목),두산,win
13,04.20(금),SK,lose
14,04.21(토),SK,win
15,04.22(일),SK,lose
16,04.24(화),롯데,win
17,04.25(수),롯데,lose
18,04.26(목),롯데,win
19,04.27(금),현대,lose
20,04.28(토),현대,lose
21,04.29(일),현대,win
22,04.05(목),한화,win
23,04.06(금),한화,win
24,04.07(토),롯데,lose
25,04.08(일),롯데,win
26,04.10(화),SK,win
27,04.12(목),SK,win
28,-,SK,lose
29,04.13(금),LG,win
30,04.14(토),LG,win
31,04.15(일),LG,win
32,04.17(화),두산,lose
33,04.18(수),두산,lose
34,04.19(목),두산,win
35,04.20(금),SK,lose
36,04.21(토),SK,win
37,04.22(일),SK,lose
38,04.24(화),롯데,win
39,04.25(수),롯데,lose
40,04.26(목),롯데,win
41,04.27(금),현대,lose
42,04.28(토),현대,lose
43,04.29(일),현대,win
44,05.01(화),두산,win
45,05.02(수),두산,win
46,05.03(목),두산,lose
47,05.04(금),현대,lose
48,05.05(토),현대,win
49,05.06(일),현대,win
50,05.08(화),KIA,lose
51,05.09(수),KIA,lose
52,05.10(목),KIA,lose
53,05.11(금),LG,win
54,05.12(토),LG,win
55,05.13(일),LG,win
56,05.15(화),롯데,win
57,05.16(수),롯데,win
58,05.17(목),롯데,lose
59,05.18(금),한화,win
60,05.19(토),한화,win
61,05.20(일),한화,lose
62,05.22(화),현대,lose
63,05.23(수),현대,lose
64,05.24(목),현대,win
65,05.25(금),KIA,win
66,05.26(토),KIA,win
67,05.27(일),KIA,win
68,05.29(화),두산,lose
69,05.30(수),두산,lose
70,05.31(목),두산,win
71,06.01(금),롯데,win
72,06.02(토),롯데,win
73,06.03(일),롯데,lose
74,06.05(화),두산,win
75,06.06(수),두산,win
76,06.07(목),두산,win
77,06.08(금),SK,win
78,06.09(토),SK,win
79,06.10(일),SK,win
80,06.12(화),LG,win
81,06.14(목),LG,win
82,06.15(금),KIA,win
83,06.16(토),KIA,win
84,06.17(일),KIA,lose
85,06.20(수),한화,lose
86,-,한화,win
87,06.21(목),한화,lose
88,06.22(금),현대,win
89,06.23(토),현대,win
90,06.25(월),현대,lose
91,06.26(화),한화,win
92,06.27(수),한화,win
93,06.28(목),한화,win
94,06.30(토),LG,lose
95,-,LG,win
96,07.01(일),LG,lose
97,07.03(화),KIA,win
98,07.04(수),KIA,lose
99,07.06(금),현대,lose
100,07.07(토),현대,lose
101,07.08(일),현대,lose
102,07.11(수),SK,win
103,07.12(목),SK,lose
104,07.21(토),롯데,win
105,07.22(일),롯데,win
106,07.24(화),한화,win
107,07.26(목),한화,win
108,07.28(토),KIA,win
109,07.29(일),KIA,win
110,07.31(화),두산,win
111,08.01(수),두산,win
112,08.04(토),현대,lose
113,08.05(일),현대,win
114,08.09(목),LG,win
115,08.10(금),SK,win
116,08.11(토),SK,win
117,08.12(일),SK,lose
118,08.14(화),두산,win
119,08.16(목),두산,lose
120,08.17(금),한화,win
121,08.18(토),한화,win
122,08.19(일),한화,win
123,08.21(화),KIA,win
124,08.22(수),KIA,win
125,08.25(토),SK,win
126,08.26(일),SK,lose
127,08.28(화),롯데,lose
128,08.29(수),롯데,lose
129,09.01(토),현대,win
130,09.02(일),현대,lose
131,09.04(화),두산,win
132,09.05(수),두산,lose
133,09.07(금),LG,win
134,09.08(토),LG,win
135,-,LG,lose
136,09.09(일),LG,lose
137,09.11(화),KIA,win
138,09.12(수),KIA,win
139,-,KIA,win
140,09.13(목),KIA,lose
141,09.15(토),SK,win
142,-,SK,lose
143,09.16(일),SK,lose
144,09.18(화),롯데,lose
145,09.19(수),롯데,lose
146,09.20(목),롯데,win
147,09.22(토),한화,lose
148,09.23(일),한화,lose
149,09.25(화),롯데,win
150,09.26(수),LG,lose
151,09.27(목),LG,lose
152,09.28(금),LG,win
153,09.29(토),한화,lose
154,10.03(수),두산,win
