날짜,상대팀,결과
06.01(목),SSG,lose
06.02(금),한화,win
06.03(토),한화,win
06.04(일),한화,lose
06.06(화),NC,win
06.07(수),NC,lose
06.08(목),NC,lose
06.09(금),롯데,lose
06.10(토),롯데,win
06.11(일),롯데,win
06.13(화),LG,lose
06.14(수),LG,lose
06.15(목),LG,lose
06.16(금),KT,lose
06.17(토),KT,lose
06.18(일),KT,win
06.20(화),키움,lose
06.21(수),키움,lose
06.22(목),키움,lose
06.23(금),SSG,lose
06.24(토),SSG,lose
06.25(일),SSG,win
06.27(화),롯데,lose
06.28(수),롯데,lose
06.29(목),롯데,-
06.30(금),한화,lose
