날짜,상대팀,결과
10.01(목),KT,win
10.02(금),NC,win
10.03(토),NC,draw
-,NC,lose
10.04(일),NC,lose
10.06(화),LG,win
10.07(수),LG,lose
10.08(목),LG,lose
10.09(금),롯데,win
10.10(토),롯데,lose
10.11(일),롯데,win
10.13(화),SK,lose
10.14(수),SK,win
10.15(목),SK,lose
10.16(금),한화,win
10.17(토),한화,draw
-,한화,win
10.18(일),한화,win
10.20(화),SK,win
10.21(수),KT,lose
10.24(토),KIA,win
10.25(일),KIA,lose
10.27(화),NC,win
10.30(금),NC,draw
