날짜,상대팀,결과
07.01(목),SSG,win
07.02(금),NC,win
07.03(토),NC,-
07.04(일),NC,win
07.05(월),NC,-
07.06(화),KT,-
07.07(수),KT,-
07.08(목),KT,lose
07.09(금),롯데,lose
07.10(토),롯데,win
07.11(일),롯데,win
07.13(화),KIA,-
07.14(수),KIA,-
07.15(목),KIA,-
07.16(금),키움,-
07.17(토),키움,-
07.18(일),키움,-
